SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
31001;Head of State;Andrej Hlinka;1936;1938;1939;PA;Barking Buffoon;High;M31001;x
31002;Head of Government;Jozef Tiso;1936;1964;1999;PA;Happy Amateur;High;M31002;x
31003;Foreign Minister;Vojtech Tuka;1936;1964;1999;PA;The Cloak N Dagger Schemer;Low;M31003;x
31004;Minister of Armament;Pavol Teplansky;1936;1964;1999;PA;Theoretical Scientist;Medium;M31004;x
31005;Minister of Security;Ferdinand Durcansky;1936;1964;1999;PA;Compassionate Gentleman;Low;M31005;x
31006;Head of Military Intelligence;Jaroslav Kratochvil;1936;1964;1999;PA;Industrial Specialist;High;M31006;x
31007;Chief of Staff;Ferdinand Catlos;1936;1964;1999;PA;School of Manoeuvre;Low;M31007;x
31008;Chief of Army;Gustav Malar;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;L70010;x
31009;Chief of Navy;Jozef Hora;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M31009;x
31031;Head of State;Jozef Tiso;1938;1964;1999;FA;Pig-headed Isolationist;High;M31002;x
31032;Head of State;Jozef Tiso;1944;1964;1999;NS;Pig-headed Isolationist;High;M31002;x
31033;Head of State;Karol Sidor;1945;1964;1999;PA;Popular Figurehead;High;M31033;x
31034;Head of Government;Vojtech Tuka;1938;1964;1999;FA;Naive Optimist;High;M31003;x
31035;Head of Government;Stefan Tiso;1944;1964;1999;NS;Backroom Backstabber;High;M31035;x
31036;Head of Government;Karol Sidor;1936;1964;1999;SC;Silent Workhorse;High;M31033;x
31037;Foreign Minister;Ferdinand Durcansky;1938;1964;1999;FA;Great Compromiser;Very Low;M31005;x
31039;Foreign Minister;Stefan Tiso;1944;1964;1999;NS;Biased Intellectual;Very High;M31035;x
31040;Foreign Minister;Petar Jilemnicky;1945;1964;1999;PA;Apologetic Clerk;Very High;M31040;x
31042;Minister of Armament;Mikulás Pruzinsky;1938;1964;1999;FA;Resource Industrialist;Medium;M31042;x
31043;Minister of Armament;Jaroslav Kratochvil;1944;1964;1999;NS;Military Entrepreneur;High;M31006;x
31047;Minister of Armament;Jindrich Honzl;1946;1964;1999;ST;Military Entrepreneur;Medium;M31029;x
31048;Minister of Security;Janko Jesensky;1938;1964;1999;FA;Compassionate Gentleman;Low;M31048;x
31049;Minister of Security;Fritz Gejza;1939;1964;1999;FA;Compassionate Gentleman;Low;M31010;x
31050;Minister of Security;Alexander Mach;1940;1964;1999;NS;Efficient Sociopath;Low;M31050;x
31051;Minister of Security;Tido Gaspar;1941;1964;1999;FA;Prince of Terror;Medium;M31051;x
31052;Minister of Security;Karol Sidor;1943;1964;1999;FA;Back Stabber;High;M31033;x
31053;Minister of Security;Vtislav Hrubec;1945;1964;1999;PA;Silent Lawyer;High;M31053;x
31054;Head of Military Intelligence;Gustav Malar;1938;1964;1999;FA;Naval Intelligence Specialist;High;L70010;x
31055;Head of Military Intelligence;Hans Bernard;1939;1964;1999;NS;Industrial Specialist;High;M31055;x
31056;Head of Military Intelligence;Manfred von Killinger;1940;1964;1999;NS;Logistics Specialist;High;M31056;x
31057;Head of Military Intelligence;Hans Elard Ludin;1941;1964;1999;NS;Political Specialist;High;M31057;x
31058;Head of Military Intelligence;Vilmos Nejedly;1945;1964;1999;PA;Technical Specialist;High;M31058;x
31059;Head of Military Intelligence;Jaroslav Mellan;1946;1964;1999;SC;Industrial Specialist;High;M31059;x
31060;Chief of Staff;Gustav Malar;1938;1964;1999;FA;School of Fire Support;High;L70010;x
31061;Chief of Staff;Otomar Kubela;1944;1964;1999;NS;School of Mass Combat;Medium;M31061;x
31063;Chief of Army;Ferdinand Catlos;1938;1964;1999;FA;Guns and Butter Doctrine;Low;M31007;x
31064;Chief of Army;Jozef Snejdarek;1944;1964;1999;NS;Decisive Battle Doctrine;High;M31064;x
31066;Chief of Navy;Jozef Turanec;1938;1964;1999;FA;Open Seas Doctrine;Medium;L70016;x
31068;Chief of Navy;Vojtech Daubner;1945;1964;1999;PA;Indirect Approach Doctrine;Medium;M31068;x
31069;Chief of Air Force;Anton Pulanick;1938;1964;1999;FA;Army Aviation Doctrine;Medium;M31069;x
31070;Chief of Air Force;Frantisek Straka;1944;1964;1999;NS;Vertical Envelopment Doctrine;Medium;M31070;x
31071;Chief of Air Force;Vojtech Daubner;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M31068;x
31011;Head of State;Vavro Srobar;1936;1964;1999;SC;Insignificant Layman;High;M31011;x
31013;Foreign Minister;Ladislav Skovira;1936;1964;1999;SC;Great Compromiser;Low;M31013;x
31014;Minister of Armament;Frantisek Halas;1936;1964;1999;ML;Infantry Proponent;Medium;M31014;x
31015;Minister of Security;Ulian Pauliny;1936;1964;1999;SC;Man of the People;Low;M31015;x
31016;Head of Military Intelligence;Edouard Urx;1936;1964;1999;ML;Dismal Enigma;High;M31016;x
31017;Chief of Staff;Rudolf Viest;1936;1964;1999;PA;School of Fire Support;Low;M31017;x
31018;Chief of Army;Rudolf Viest;1936;1964;1999;PA;Decisive Battle Doctrine;High;M31017;x
31021;Head of State;Rudolf Slansky;1936;1964;1999;ST;Powerhungry Demagogue;High;M31021;x
31022;Head of Government;Michael Knosko;1936;1964;1999;ST;Happy Amateur;High;M31022;x
31023;Foreign Minister;Gustaf Husak;1936;1964;1999;ST;Ideological Crusader;Low;M31023;x
31024;Minister of Armament;Karel Konrad;1936;1964;1999;LE;Tank Proponent;Medium;M31024;x
31025;Minister of Security;Frano Kral;1936;1964;1999;ST;Man of the People;Low;M31025;x
31026;Head of Military Intelligence;Frantisek Kralina;1936;1964;1999;LE;Technical Specialist;High;M31026;x
31027;Chief of Staff;Julius Nosko;1936;1964;1999;LE;School of Psychology;Medium;M31027;x
31030;Chief of Air Force;Cyril Kuchta;1936;1964;1999;ST;Air Superiority Doctrine;Medium;M31030;x
31080;Head of Government;Gustav Husak;1950;1964;1999;LE;Political Protege;High;M24022;x
31081;Foreign Minister;Vladimir Clementis;1936;1964;1999;LWR;Great Compromiser;High;M24023;x
31082;Head of Government;Milan Hodza;1936;1964;1999;ML;Naive Optimist;High;M24002;x
31083;Minister of Security;Ivan Derer;1936;1964;1999;ML;Man of the People;Medium;M24005;x
4568888;Foreign Minister;Emil Boleslav Lukac;1936;1964;1999;SD;Biased Intellectual;High;M100000021;x
4568889;Minister of Security;Juraj Slávik;1936;1964;1999;SC;Compassionate Gentleman;High;M100000022;x
4568890;Minister of Armament;Martin Rázus;1936;1964;1999;PA;Infantry Proponent;Medium;M100000023;x
4568891;Minister of Armament;Ján Balko;1936;1964;1999;PA;Resource Industrialist;Medium;M100000024;x
4568892;Head of Government;Vasil Bilak;1945;1964;1999;ST;Backroom Backstabber;Very High;M100000025;x
4568893;Head of Government;Daniel Okali;1936;1964;1999;LE;Silent Workhorse;High;M100000026;x
4568894;Head of Government;Alexander Dubcek;1945;1964;1999;LWR;Ambitious Union Boss;High;M100000027;x
4568895;Minister of Armament;Ján Ursiny;1936;1964;1999;ML;Resource Industrialist;High;M100000028;x
4568896;Head of Government;Jozef Lettrich;1936;1964;1999;ML;Naive Optimist;High;M100000029;x
4568897;Head of State;Karol Smidke;1936;1964;1999;LWR;Pig-headed Isolationist;Very High;M100000030;x
4568898;Minister of Security;Martin Kvetko;1940;1964;1999;ML;Compassionate Gentleman;Medium;M100000031;x
4568899;Head of Military Intelligence;Igor Daxner;1936;1964;1999;SD;Industrial Specialist;High;M100000032;x
4568900;Minister of Security;Andrej Vrabel;1936;1964;1999;SD;Compassionate Gentleman;High;M100000033;x
4568901;Minister of Armament;Ján Fedor Houdek;1936;1964;1999;ML;Theoretical Scientist;Medium;M100000034;x
