SOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
770001;Head of State;Boqor Maxamuud Cali Shiire;1936;1964;1999;PA;Resigned Generalissimo;Very High;U40_Mohamoud Ali Shire;
770002;Minister of Security;Mohamed Siad Barre;1936;1964;1999;ST;Efficient Sociopath;Very High;mohamed_siad_barre;
770003;Minister of Security;Maxamed Sheekh Cismaan Cirro;1936;1964;1999;LE;Silent Lawyer;Very High;maxamed_sheekh_cismaan_cirro;
770004;Minister of Security;Maxamed Siyaad;1936;1964;1999;LWR;man of the people;Very High;Maxamed_Siyaad;
770005;Minister of Security;Sheikh Ali Ayanle Samatar;1936;1964;1999;SD;Silent Lawyer;Very High;sheikh_ali_ayanle_samatar;
770006;Minister of Security;Abshir Doore;1936;1964;1999;SL;man of the people;Very High;abshir_doore;
770007;Minister of Security;Omar Sheikh Ahmed Aray;1936;1964;1999;ML;Crooked Kleptocrat;Very High;omar_sheikh_ahmed_aray;
770008;Minister of Security;Allan Gibb;1936;1964;1999;SC;Prince of Terror;Very High;a_gibb;
770009;Minister of Security;Ismail Ali Abukar;1936;1964;1999;PA;Crime Fighter;Very High;Ismail_Ali_Abukar;
770010;Minister of Security;Haji Bashir Ismail Yusuf;1936;1964;1999;FA;Prince of Terror;Very High;haji_bashir_ismail_yusuf;
770011;Minister of Security;Ahmed Hassan Musa;1936;1964;1999;NS;Back Stabber;Very High;Ahmed_Hassan_Musa;
770012;Minister of Armament;Muhammad Sh. Osman;1936;1964;1999;ST;Corrupt Kleptocrat;Very High;Muhammad_Sh_Osman;
770013;Minister of Armament;Ahmad Mahamuud Faarah;1936;1964;1999;LE;Resource Industrialist;Very High;Ahmad_Mahamuud_Faarah;
770014;Minister of Armament;Hassan Abshir;1936;1964;1999;LWR;Infantry Proponent;Very High;hassan_abshir;
770015;Minister of Armament;Hassan Ali Mire;1936;1964;1999;SD;Resource Industrialist;Very High;Hassan_Ali_Mire;
770016;Minister of Armament;Jama Ghalib;1936;1964;1999;SL;Infantry Proponent;Very High;Jama_Ghalib;
770017;Minister of Armament;Abdulkadir Haji Muhamad;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;abdulkadir_haji_muhammad;
770018;Minister of Armament;Ahmed Mohamoud Ade;1936;1964;1999;SC;Military Entrepreneur;Very High;Ahmed_Mohamoud_Ade;
770019;Minister of Armament;Osman Mohamed Jelle;1936;1964;1999;SC;Tank Proponent;Very High;osman_mohamed_jelle;
770020;Minister of Armament;Cismaan III Maxamuud;1936;1964;1999;PA;Battle Fleet Proponent;Very High;cismaan_iii_maxamuud;
770021;Minister of Armament;Mohamoud Ghelle Yusuf;1936;1964;1999;PA;Military Entrepreneur;Very High;Mohamoud_Ghelle_Yusuf;
770022;Minister of Armament;Muhammad Ali Shirreh;1936;1964;1999;FA;Corrupt Kleptocrat;Very High;Muhammad_Ali_Shirreh;
770023;Minister of Armament;Unatù Endisciau;1936;1964;1999;FA;Infantry Proponent;Very High;unatu_endisciau;
770024;Minister of Armament;Bibi Moheem;1936;1964;1999;NS;Resource Industrialist;Very High;Bibi_Moheem;
770025;Head of Military Intelligence;Ahmad Mahamuud Faarah;1936;1964;1999;ST;Political Specialist;Very High;Ahmad_Mahamuud_Faarah;
770026;Head of Military Intelligence;Abdulkadir Haji Muhammad;1936;1964;1999;LE;Industrial Specialist;Very High;abdulkadir_haji_muhammad;
770027;Head of Military Intelligence;Hassan Abshir;1936;1964;1999;LWR;Dismal Enigma;Very High;hassan_abshir;
770028;Head of Military Intelligence;Sawiro Taariikheed Xusuus;1936;1964;1999;SD;Industrial Specialist;Very High;Sawiro_Taariikheed_Xusuus;
770029;Head of Military Intelligence;Sef Bin Ahmed;1936;1964;1999;SL;Political Specialist;Very High;sef_bin_ahmed;
770030;Head of Military Intelligence;Cali Yuusuf Keenadiid;1936;1964;1999;ML;Dismal Enigma;Very High;Cali_Yuusuf_II_Keenadiid;
770031;Head of Military Intelligence;Cabdi Warsame Isaaq;1936;1964;1999;SC;Political Specialist;Very High;Cabdi_Warsame_Isaaq;
770032;Head of Military Intelligence;Muhammad Ali Shirreh;1936;1964;1999;PA;Political Specialist;Very High;Muhammad_Ali_Shirreh;
770033;Head of Military Intelligence;Unatù Endisciau;1936;1964;1999;FA;Technical Specialist;Very High;unatu_endisciau;
770034;Head of Military Intelligence;Bibi Moheem;1936;1964;1999;NS;Technical Specialist;Very High;Bibi_Moheem;
770035;Head of Government;Jama Korshel;1936;1964;1999;ST;Old General;Very High;Jama_Korshel;
770036;Head of Government;Mohamed Siad Barre;1936;1964;1999;ST;Old General;Very High;mohamed_siad_barre;
770037;Head of Government;Omar Samatar;1936;1964;1999;LE;Flamboyant Tough Guy;Very High;Omar_Samatar;
770038;Head of Government;Aden Abdulle Osman Daar;1936;1964;1999;LWR;Naive Optimist;Very High;Aden_Abdulle_Osman_Daar;
770039;Head of Government;Haji Farah Ali Omar;1936;1964;1999;SD;Happy Amateur;Very High;Haji_Farah_Ali_Omar;
770040;Head of Government;Sheikh Ali Ayanle Samatar;1936;1964;1999;SD;Flamboyant Tough Guy;Very High;sheikh_ali_ayanle_samatar;
770041;Head of Government;Ughaz 'Elmi Warfa;1936;1964;1999;SL;Silent Workhorse;Very High;Ughaz_Elmi_Warfa;
770042;Head of Government;Abdallah al-Qutbi;1936;1964;1999;ML;Naive Optimist;Very High;Abdallah_al_Qutbi;
770043;Head of Government;Jama Abdullahi Qalib;1936;1964;1999;ML;Naive Optimist;Very High;Jama_Ghalib;
770044;Head of Government;Abdulrahim Abby Farah;1936;1964;1999;SC;Political Protege;Very High;Abdulrahim_Abby Farah;
770045;Head of Government;Cali Yuusuf II Keenadiid;1936;1964;1999;SC;Naive Optimist;Very High;Cali_Yuusuf_II_Keenadiid;
770046;Head of Government;Yasin Haji Osman Sharmarke;1936;1964;1999;SC;Political Protege;Very High;yasin_haji_osman_sharmarke;
770047;Head of Government;Cismaan III Maxamuud;1936;1964;1999;PA;Silent Workhorse;Very High;cismaan_iii_maxamuud;
770048;Head of Government;Mohamed Abshir Muse;1936;1964;1999;PA;Silent Workhorse;Very High;mohamed_abshir_muse;
770049;Head of Government;Unat Endisciau;1936;1964;1999;PA;Old General;Very High;Unat_Endisciau;
770050;Head of Government;Maxamuud Ali Shire;1936;1964;1999;FA;Backroom Backstabber;Very High;Maxamuud_Ali_Shire;
770051;Head of Government;Sheikh Mukhtar Mohamed Hussein;1936;1964;1999;FA;Backroom Backstabber;Very High;Sheikh_Mukhtar_Mohamed_Hussein;
770052;Head of Government;Haji Bashir Ismail Yusuf;1936;1964;1999;NS;Old General;Very High;haji_bashir_ismail_yusuf;
770053;Head of Government;Yuusuf Xayle;1936;1964;1999;NS;Old General;Very High;Yuusuf_Xayle;
770054;Foreign Minister;Ahmad Mahamuud Faarah;1936;1964;1999;ST;Ideological Crusader;Very High;Ahmad_Mahamuud_Faarah;
770055;Foreign Minister;Abdulkadir Haji Muhammad;1936;1964;1999;LE;Ideological Crusader;Very High;abdulkadir_haji_muhammad;
770056;Foreign Minister;Muhammad Ainanshe;1936;1964;1999;LWR;Biased Intellectual;Very High;muhammad_ainanshe;
770057;Foreign Minister;Abdulahi Hassan;1936;1964;1999;SD;Great Compromiser;Very High;Abdulahi_Hassan;
770058;Foreign Minister;Abdirizak Mahamud Abubakar;1936;1964;1999;SL;the cloak n dagger schemer;Very High;abdirizak_mahamud_abubakar;
