SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
555001;Head of State;Ismael Alazhari;1936;1964;1999;SD;Pig-headed Isolationist;High;M555012;x
555002;Head of State;Abdella Bey Khaleel;1936;1964;1999;SD;Benevolent Gentleman;High;M555014;x
555003;Head of Government;Abdella Bey Khaleel;1936;1964;1999;SD;Flamboyant Tough Guy;High;M555014;x
555004;Head of Government;Ismael Alazhari;1936;1964;1999;SD;Silent Workhorse;High;M555012;x
555005;Foreign Minister;Mohammed Ahmed Mahjoob;1936;1964;1999;SD;iron fisted brute;High;M555016;x
555006;Foreign Minister;dr. Aljazooli Daffa'alla;1936;1964;1999;SD;Biased Intellectual;Medium;M555019;x
555007;Foreign Minister;Ismael Alazhari;1936;1964;1999;SD;Great Compromiser;High;M555012;x
555008;Foreign Minister;Abdella Bey Khaleel;1936;1964;1999;SD;Ideological Crusader;High;M555014;x
555009;Minister of Armament;dr. Aljazooli Daffa'alla;1936;1964;1999;SD;Theoretical Scientist;Medium;M555019;x
555010;Minister of Armament;Slah Elzubir;1942;1964;1999;SD;Strategic Air Proponent;Medium;M555020;x
555011;Minister of Armament;Rasheed Altahir Bakr;1950;1964;1999;SD;Corrupt Kleptocrat;Medium;M555023;x
555012;Minister of Armament;Farik Ibrahim Abboud;1936;1964;1999;SD;air to ground proponent;Medium;M555030;x
555013;Minister of Armament;Mohammed Ahmad Yasin;1936;1964;1999;SD;Infantry Proponent;Medium;M555028;x
555014;Minister of Armament;Mohammed Ahmed Mahjoob;1936;1964;1999;SD;air to sea proponent;High;M555016;x
555015;Minister of Armament;Sirr Al-Khatim Al-Khalifa;1939;1964;1999;SD;Air Superiority Proponent;Medium;M555037;x
555016;Minister of Armament;Ismael Alazhari;1936;1964;1999;SD;Resource Industrialist;High;M555012;x
555017;Minister of Security;Farik Ibrahim Abboud;1936;1964;1999;SD;Silent Lawyer;Medium;M555030;x
555018;Minister of Security;Rasheed Altahir Bakr;1950;1964;1999;SD;Crooked Kleptocrat;Medium;M555023;x
555019;Minister of Security;Mohammed Ahmed Mahjoob;1936;1964;1999;SD;Prince of Terror;High;M555016;x
555020;Minister of Security;Abdella Bey Khaleel;1936;1964;1999;SD;Man of the People;High;M555014;x
555021;Head of Military Intelligence;Mohammed Ahmad Yasin;1936;1964;1999;SD;Logistics Specialist;Medium;M555028;x
555022;Head of Military Intelligence;dr. Aljazooli Daffa'alla;1936;1964;1999;SD;Technical Specialist;Medium;M555019;x
555023;Head of Military Intelligence;Ismael Alazhari;1936;1964;1999;SD;Industrial Specialist;High;M555012;x
555024;Head of Military Intelligence;Babiker Awadalla;1937;1964;1999;SD;Naval Intelligence Specialist;Medium;M555035;x
555025;Head of Military Intelligence;Abdella Bey Khaleel;1936;1964;1999;SD;Political Specialist;High;M555014;x
555026;Chief of Staff;Farik Ibrahim Abboud;1936;1964;1999;SD;School of Manoeuvre;Medium;M555030;x
555027;Chief of Staff;Mohammed Ahmad Yasin;1936;1964;1999;SD;School of Mass Combat;Medium;M555028;x
555028;Chief of Army;Farik Ibrahim Abboud;1936;1964;1999;SD;Elastic Defence Doctrine;Medium;M555030;x
555029;Chief of Army;Mohammed Ahmad Yasin;1936;1964;1999;SD;Decisive Battle Doctrine;Medium;M555028;x
555030;Chief of Navy;Babiker Awadalla;1937;1964;1999;SD;Base Control Doctrine;Medium;M555035;x
555031;Chief of Navy;Mohammed Ahmed Mahjoob;1936;1964;1999;SD;Power Projection Doctrine;High;M555016;x
555032;Chief of Air Force;Sirr Al-Khatim Al-Khalifa;1939;1964;1999;SD;Air Superiority Doctrine;Medium;M555037;x
555033;Chief of Air Force;Slah Elzubir;1942;1964;1999;SD;Carpet Bombing Doctrine;Medium;M555020;x
555034;Chief of Air Force;Farik Ibrahim Abboud;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M555030;x
555035;Chief of Air Force;Babiker Awadalla;1937;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M555035;x
555036;Chief of Air Force;Mohammed Ahmed Mahjoob;1936;1964;1999;SD;Naval Aviation Doctrine;High;M555016;x
555037;Head of State;H.R.M. Sayed Abd-el-Rahman el-Mahdi;1936;1964;1999;PA;Ruthless Powermonger;High;Sayed;X
