TEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
571001;Head of State;Huey Long;1936;1964;1999;FA;Southern Demagogue;High;kaiserreich hueylong;X
584197;Head of Government;William Hartsfield;1942;1964;1999;SL;Naive Optimist;High;TEX William Hartsfield;X
584198;Minister of Security;William Hartsfield;1942;1964;1999;SL;Man of the People;High;TEX William Hartsfield;X
584199;Minister of Armament;Ivan Allen Jr.;1946;1964;1999;SD;Mixed Economy;High;TEX Ivan Allen Jr;X
584200;Minister of Security;Ivan Allen Jr.;1946;1964;1999;SD;Compassionate Gentleman;High;TEX Ivan Allen Jr;X
584201;Minister of Armament;Ernest Vandiver;1952;1964;1999;ML;Air Superiority Proponent;High;TEX Ernest Vandiver;X
584202;Chief of Air Force;Ernest Vandiver;1952;1964;1999;ML;Air Defence Doctrine;High;TEX Ernest Vandiver;X
584203;Head of State;Russel B. Long;1945;1964;1999;SD;Die-hard Reformer;High;TEX Russel B Long;X
584204;Head of Government;Russel B. Long;1945;1964;1999;SD;Silent Workhorse;High;TEX Russel B Long;X
584205;Minister of Armament;Russel B. Long;1945;1964;1999;SD;Keynesian Economy;High;TEX Russel B Long;X
584196;Head of State;Lester Maddox;1936;1964;1999;FA;Ruthless Powermonger;High;TEX Lester Maddox;X
584171;Minister of Security;Lester Maddox;1936;1964;1999;FA;Compassionate Gentleman;High;TEX Lester Maddox;X
584172;Minister of Security;Castro Carazo;1936;1964;1999;SC;Media Magnate;High;TEX Castro Carazo;X
584168;Chief of Navy;Jimmy Carter;1955;1964;1999;ML;Open Seas Doctrine;High;TEX Jimmy Carter;X
584208;Minister of Armament;Mills Lane Jr.;1946;1964;1999;SD;Bank President;High;TEX Mills Lane Jr;X
584209;Minister of Armament;Robert Woodruff;1936;1985;1999;ML;Laissez-Faire Capitalist;High;TEX Robert Woodruff;X
584210;Foreign Minister;George Hunt Williamson;1950;1985;1999;NS;Ideological Crusader;High;TEX George Hunt Williamson;X
584211;Head of Military Intelligence;George Hunt Williamson;1950;1985;1999;NS;Political Specialist;High;TEX George Hunt Williamson;X
584212;Minister of Security;George Hunt Williamson;1950;1985;1999;NS;Prince of Terror;High;TEX George Hunt Williamson;X
584213;Foreign Minister;Allen Joseph Ellender;1936;1970;1999;FA;Apologetic Clerk;High;TEX Allen Joseph Ellender;X
584219;Head of Government;Absalom Willis Robertson;1936;1970;1999;PA;Political Protege;High;TEX Absalom Willis Robertson;X
584220;Minister of Armament;Absalom Willis Robertson;1936;1970;1999;PA;Resource Industrialist;High;TEX Absalom Willis Robertson;X
584214;Minister of Armament;Marvin Griffin;1936;1970;1999;NS;Artillery Proponent;High;TEX Marvin Griffin;X
584215;Chief of Army;Marvin Griffin;1936;1970;1999;NS;Innovative Artillery Officer;High;TEX Marvin Griffin;X
