UCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
98000;Head of State;He Shuheng;1931;1946;1999;LWR;Die-hard Reformer;High;MHe_Shuheng;X
98001;Head of State;Li Da;1936;1966;1999;LWR;Popular Figurehead;High;MLi_Da1890;X
98002;Head of State;Yi Lirong;1943;1970;1999;LWR;Die-hard Reformer;High;MYi_Lirong;X
98003;Head of Government;Yi Lirong;1943;1970;1999;LWR;Ambitious Union Boss;High;MYi_Lirong;X
98004;Head of State;Tang Shengzhi;1926;1970;1999;SD;Resigned Generalissimo;High;L50280;X
98005;Head of Government;Tang Shengzhi;1926;1970;1999;SD;Old General;High;L50280;X
98006;Head of State;Zhou Xiaozhou;1953;1970;1999;SD;Insignificant Layman;High;MZhou_Xiaozhou;X
98007;Head of Government;Zhou Xiaozhou;1953;1970;1999;SD;Naive Optimist;High;MZhou_Xiaozhou;X
98008;Head of State;Cheng Qian;1927;1968;1999;SL;Reformist Soldierhos;High;CHICheng Qian;X
98009;Head of Government;Cheng Qian;1927;1968;1999;SL;Pragmatic Statesman;High;CHICheng Qian;X
98010;Chief of Staff;Cheng Qian;1921;1968;1999;SL;School of Fire Support;High;CHICheng Qian;X
98011;Chief of Army;Cheng Qian;1921;1968;1999;SL;Decisive Battle Doctrine;High;CHICheng Qian;X
98012;Head of State;Jiang Tingfu;1935;1966;1999;ML;Stern Imperialist;High;CHITingfu;X
98013;Head of Government;Jiang Tingfu;1935;1966;1999;ML;Political Protege;High;CHITingfu;X
98014;Foreign Minister;Jiang Tingfu;1935;1966;1999;ML;Biased Intellectual;High;CHITingfu;X
98015;Head of State;Zhao Hengti;1921;1970;1999;SC;Insignificant Layman;High;MZhao_Hengti;X
98016;Head of Government;Zhao Hengti;1921;1970;1999;SC;Old General;High;MZhao_Hengti;X
98017;Head of State;He Jian;1929;1956;1999;PA;Ruthless Powermonger;High;He Jian;X
98018;Head of Government;He Jian;1929;1956;1999;PA;Old General;High;He Jian;X
98019;Minister of Security;He Jian;1929;1956;1999;PA;Prince of Terror;High;He Jian;X
98020;Head of State;Liu Jianxu;1941;1970;1999;PA;Barking Buffoon;High;L50204;X
98021;Head of Government;Liu Jianxu;1941;1970;1999;PA;Backroom Backstabber;High;L50204;X
98022;Head of Government;Cheng Fangwu;1936;1970;1999;LE;Silent Workhorse;High;MCheng_Fangwu;X
98023;Minister of Armament;Cheng Fangwu;1927;1970;1999;LE;Reformer;High;MCheng_Fangwu;X
98024;Head of Government;He Long;1945;1969;1999;LWR;Respected War Hero;High;L76313;X
98025;Chief of Staff;He Long;1930;1969;1999;LWR;School of Psychology;High;L76313;X
98026;Chief of Army;He Long;1930;1969;1999;LWR;Doctrine of Autonomy;High;L76313;X
98027;Head of Military Intelligence;He Long;1942;1969;1999;LWR;Logistics Specialist;High;L76313;X
98028;Head of Government;Yang Kaizhi;1940;1970;1999;LWR;Happy Amateur;High;MYang_Kaizhi;X
98029;Head of Government;Yang Dongxin;1948;1970;1999;LWR;Pragmatic Statesman;High;MYang_Dongxin;X
98030;Minister of Security;Yang Dongxin;1940;1970;1999;LWR;Media Magnate;High;MYang_Dongxin;X
98031;Head of Government;Liu Kuiyi;1933;1950;1999;SD;Naive Optimist;High;MLiu_Kuiyi;X
98032;Head of Government;Tang Shengming;1949;1970;1999;SD;Happy Amateur;High;LTang_Shengming;X
98033;Head of Military Intelligence;Tang Shengming;1936;1970;1999;SD;Counterintelligence Specialist;High;LTang_Shengming;X
98034;Chief of Army;Tang Shengming;1936;1970;1999;SD;Guns and Butter Doctrine;High;LTang_Shengming;X
98035;Head of Government;Zhao Junmai;1945;1970;1999;SL;Silent Workhorse;High;LZhao_Junmai;X
98036;Minister of Security;Zhao Junmai;1939;1970;1999;SL;Man of the People;High;LZhao_Junmai;X
98037;Head of Government;He Zhonghan;1950;1970;1999;SL;Political Protege;High;M52084;X
98038;Head of Military Intelligence;He Zhonghan;1932;1970;1999;SL;Political Specialist;High;M52084;X
98039;Chief of Staff;He Zhonghan;1932;1970;1999;SL;School of Psychology;High;M52084;X
98040;Head of Government;Huang Shaogu;1949;1970;1999;ML;Backroom Backstabber;High;MHuang_Shaogu;X
98041;Foreign Minister;Huang Shaogu;1940;1970;1999;ML;The Cloak N Dagger Schemer;High;MHuang_Shaogu;X
98042;Head of Government;Qiu Changwei;1945;1963;1999;SC;Happy Amateur;High;MQiu_Changwei;X
