USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
584169;Chief of Navy;Jimmy Carter;1955;1964;1999;SD;Open Seas Doctrine;High;TEX Jimmy Carter;X
584232;Minister of Security;Jimmie Davis;1935;1970;1999;SL;Media Magnate;High;USA Jimmie Davis;X
584230;Chief of Navy;Arleigh Burke;1945;1964;1999;ML;Power Projection Doctrine;High;L60386;X
573251;Minister of Armament;Donald Richberg;1936;1960;1999;SD;Industrialiser;Very High;CSA Donald Richberg;X
6002;Head of Government;John Nance Garner;1936;1964;1999;SL;Corporate Suit;High;M6002;X
6258;Chief of Air Force;Frank Stewart Patterson;1936;1964;1999;ML;Army Aviation Doctrine;High;KR_Frank_Stewart_Patterson;X
6003;Foreign Minister;Cordell Hull;1936;1964;1999;SL;Great Compromiser;High;M6003;X
6077;Minister of Armament;Henry Morgenthau;1936;1964;1999;SD;Resource Industrialist;High;M6077;X
6005;Minister of Security;J. Edgar Hoover;1936;1964;1999;SL;Crime Fighter;Very High;M6005;X
6006;Head of Military Intelligence;William F. Friedman;1936;1964;1999;SL;Logistics Specialist;Very High;M6006;X
6007;Chief of Staff;Malin Craig;1936;1964;1999;SL;School of Defence;High;M6007;X
6008;Chief of Army;Malin Craig;1936;1964;1999;SL;Guns and Butter Doctrine;High;M6007;X
6009;Chief of Navy;Claude A. Swanson;1936;1964;1999;SL;Decisive Naval Battle Doctrine;High;M6009;X
6010;Chief of Air Force;Oscar Westover;1936;1964;1999;SD;Army Aviation Doctrine;High;M6010;X
6032;Head of State;Henry A. Wallace;1940;1964;1999;SL;Benevolent Gentleman;High;M6032;X
6033;Head of State;Warren G. Hooper;1944;1964;1999;SL;Ruthless Powermonger;High;M6033;X
6034;Head of State;Harry S. Truman;1945;1964;1999;SL;Die-hard Reformer;High;M6034;X
6035;Head of State;Alf M. Landon;1936;1964;1999;ML;Pig-headed Isolationist;High;M6035;X
6036;Head of State;Wendell Willkie;1940;1964;1999;ML;Autocratic Charmer;High;M6036;X
6037;Head of State;Charles McNary;1944;1964;1999;ML;Insignificant Layman;High;M6037;X
6038;Head of State;Thomas E. Dewey;1944;1964;1999;ML;Popular Figurehead;High;M6038;X
6040;Head of State;Gerald K. Smith;1936;1964;1999;PA;Powerhungry Demagogue;High;M6040;X
6041;Head of State;Earl Browder;1936;1964;1999;ST;Ruthless Powermonger;High;M6041;X
6042;Head of State;Norman Thomas;1940;1964;1999;LWR;Insignificant Layman;High;M6021;X
6044;Head of Government;Henry A. Wallace;1936;1964;1999;SL;Silent Workhorse;High;M6032;X
6045;Head of Government;Joel B. Clark;1940;1964;1999;SL;Backroom Backstabber;High;M6045;X
6046;Head of Government;Harry S. Truman;1944;1964;1999;SL;Flamboyant Tough Guy;High;M6034;X
6047;Head of Government;Alben W. Barkley;1945;1964;1999;SL;Silent Workhorse;High;M6047;X
6048;Head of Government;Frank Knox;1936;1964;1999;ML;Naive Optimist;High;M6048;X
6049;Head of Government;Charles McNary;1940;1964;1999;ML;Political Protege;High;M6037;X
6050;Head of Government;John Bricker;1944;1964;1999;ML;Corporate Suit;High;M6050;X
6051;Head of Government;Strom Thurmond;1944;1964;1999;SC;Old General;High;M6051;X
6052;Head of Government;George Van Horn Moseley;1936;1964;1999;PA;Old General;High;M6052;X
6053;Head of Government;Gerald K. Smith;1936;1964;1999;PA;Happy Amateur;High;M6040;X
6054;Head of Government;William Leahy;1938;1964;1999;PA;Old Admiral;High;Kaiserreich Leahy;X
6055;Head of Government;William Z. Foster;1936;1964;1999;ST;Totalist Chairman;High;M6055;X
6056;Head of Government;James Cannon;1936;1964;1999;LWR;Smiling Oilman;High;M6056;X
6057;Head of Government;Joseph P. Lash;1944;1964;1999;LE;Naive Optimist;High;M6024;X
6058;Head of Government;Jack Reed;1936;1964;1999;LE;Ambitious Union Boss;High;kaiserreich jackreed;X
6059;Head of Government;Huey Long;1936;1964;1999;FA;Backroom Backstabber;High;kaiserreich hueylong;X
6060;Foreign Minister;Edward Stettinius;1944;1964;1999;SL;The Cloak N Dagger Schemer;Very High;M6060;X
6061;Foreign Minister;Henry L. Stimson;1936;1964;1999;SL;Apologetic Clerk;High;M6061;X
6062;Foreign Minister;Walker Lyerly;1944;1964;1999;SL;The Cloak N Dagger Schemer;High;M6062;X
6063;Foreign Minister;James Byrnes;1945;1964;1999;SD;Great Compromiser;Very High;M6063;X
6064;Foreign Minister;George C. Marshall;1947;1964;1999;SL;Ideological Crusader;High;M6064;X
6065;Foreign Minister;John Bassett Moore;1936;1964;1999;ML;General Staffer;High;M6065;X
6066;Foreign Minister;Arthur Vandenberg;1940;1964;1999;ML;Iron Fisted Brute;High;M6066;X
6067;Foreign Minister;Alfred E. Smith;1940;1964;1999;ML;Apologetic Clerk;High;M6067;X
6068;Foreign Minister;Gerald Nye;1944;1964;1999;ML;Biased Intellectual;High;M6068;X
6069;Foreign Minister;Earnest King;1936;1964;1999;FA;General Staffer;Very High;Kaiserreich EarnestKing;X
6070;Foreign Minister;Charles Coughlin;1936;1964;1999;PA;Ideological Crusader;High;M6013;X
6071;Foreign Minister;Lawrence Dennis;1944;1964;1999;FA;Apologetic Clerk;High;M6071;X
6072;Foreign Minister;Floyd B. Olson;1936;1964;1999;LWR;Ideological Crusader;Low;M6072;X
6073;Foreign Minister;Sam Darcy;1937;1964;1999;ST;Ideological Crusader;Low;M6073;X
6074;Foreign Minister;James Paul Warburg;1940;1964;1999;LE;Ideological Crusader;High;M6023;X
6075;Foreign Minister;Robert Minor;1942;1964;1999;ST;General Staffer;High;M6075;X
6076;Foreign Minister;Eugene Dennis;1944;1964;1999;LE;Biased Intellectual;High;M6076;X
6004;Minister of Armament;George H. Dern;1936;1964;1999;SD;Military Entrepreneur;High;M6004;X
6078;Minister of Armament;Harry I. Hopkins;1938;1964;1999;SL;Laissez-Faire Capitalist;High;M6078;X
6079;Minister of Armament;Jesse H. Jones;1940;1964;1999;SL;Laissez-Faire Capitalist;Very High;M6079;X
6080;Minister of Armament;Leroy Grumman;1940;1964;1999;SD;Air Superiority Proponent;Very High;M6080;X
6081;Minister of Armament;Preston T. Tucker;1944;1964;1999;SL;Strategic Air Proponent;Very High;M6081;X
6083;Minister of Armament;Robert P. Patterson;1945;1964;1999;SL;Tank Proponent;High;M6083;X
6084;Minister of Armament;Kenneth C. Royall;1947;1964;1999;SD;Laissez-Faire Capitalist;High;M6084;X
6085;Minister of Armament;Daniel C. Roper;1936;1964;1999;ML;Air Superiority Proponent;Very High;M6085;X
6086;Minister of Armament;James M. Cox;1939;1964;1999;ML;Military Entrepreneur;Very High;M6086;X
6088;Minister of Armament;Warren G. Hooper;1940;1964;1999;ML;Corrupt Kleptocrat;Low;M6033;X
6089;Minister of Armament;Harry H. Woodring;1936;1964;1999;ML;Strategic Air Proponent;High;M6089;X
6090;Minister of Armament;John D. Rockefeller;1944;1964;1999;ML;Laissez-Faire Capitalist;High;M6090;X
6091;Minister of Armament;Frederick Vinson;1945;1964;1999;ML;Resource Industrialist;Very High;M6091;X
6092;Minister of Armament;Louis Johnson;1945;1964;1999;ML;Battle Fleet Proponent;High;M6092;X
6093;Minister of Armament;Norman H. Davis;1946;1964;1999;ML;Laissez-Faire Capitalist;Very High;M6093;X
6094;Minister of Armament;William Leahy;1936;1964;1999;FA;Battle Fleet Proponent;Very High;Kaiserreich Leahy;X
6095;Minister of Armament;Francis Townsend;1936;1964;1999;PA;Resource Industrialist;Very High;M6095;X
6096;Minister of Armament;Henry Ford;1936;1964;1999;PA;Administrative Genius;Very High;M6014;X
6097;Minister of Armament;William F. Lemke;1944;1964;1999;PA;Theoretical Scientist;High;M6097;X
6098;Minister of Armament;Wyndham Mortimer;1936;1964;1999;LWR;Resource Industrialist;Low;M6098;X
6099;Minister of Armament;Elizabeth Gurley Flynn;1936;1964;1999;ST;Battle Fleet Proponent;Very High;M6099;X
6100;Minister of Armament;Upton Sinclair;1940;1964;1999;ST;Air to Ground Proponent;High;M6100;X
6101;Minister of Armament;Lemart Harris;1944;1964;1999;LWR;Resource Industrialist;Very High;M6101;X
6102;Minister of Armament;Walther Reuther;1946;1964;1999;LWR;Resource Industrialist;Very High;M6102;X
6103;Minister of Armament;Jack Reed;1936;1964;1999;LE;Administrative Genius;High;kaiserreich jackreed;X
6104;Minister of Security;Victor Selden Clark;1940;1964;1999;SL;Compassionate Gentleman;Very High;M6104;X
6105;Minister of Security;Henry Chalmers;1944;1964;1999;SD;Man of the People;Very High;M6105;X
6106;Minister of Security;Francis B. Biddle;1944;1964;1999;SL;Prince of Terror;Very High;M6106;X
6107;Minister of Security;Frank Murphy;1936;1964;1999;ML;Crime Fighter;Very High;M6107;X
6108;Minister of Security;Robert H. Jackson;1939;1964;1999;ML;Silent Lawyer;Very High;M6108;X
6110;Minister of Security;Hugh Simons Gibson;1944;1964;1999;ML;Compassionate Gentleman;Very High;M6110;X
6111;Minister of Security;Dwight D. Eisenhower;1936;1964;1999;PA;Compassionate Gentleman;Very High;M6137;X
6112;Minister of Security;Carl Spaatz;1936;1964;1999;FA;Crime Fighter;Medium;KRSpaatz;X
6113;Minister of Security;John L. DeWitt;1936;1964;1999;PA;Prince of Terror;Medium;Kaiserreich DeWitt;X
6114;Minister of Security;William Aalto;1936;1964;1999;LWR;Back Stabber;Medium;M6114;X
6115;Minister of Security;Charles Chaplin;1937;1964;1999;LWR;Man of the People;Medium;M6115;X
6116;Minister of Security;Raymond Charles Moley;1939;1964;1999;LE;Prince of Terror;Low;M6116;X
6117;Minister of Security;John Abt;1940;1964;1999;LE;Efficient Sociopath;Medium;M6029;X
6118;Minister of Security;Daniel Hoan;1942;1964;1999;LWR;Silent Lawyer;Medium;M6025;X
6119;Minister of Security;Jessica Smith;1944;1964;1999;LE;Compassionate Gentleman;Medium;M6119;X
6120;Head of Military Intelligence;Henry J. Kaiser;1936;1964;1999;SL;Industrial Specialist;High;M6082;X
6123;Head of Military Intelligence;Adolf Berle;1939;1964;1999;SL;Political Specialist;Very High;M6123;X
6124;Head of Military Intelligence;Vincent Astor;1937;1964;1999;SL;Dismal Enigma;Very High;M6124;X
6125;Head of Military Intelligence;J. Edgar Hoover;1944;1964;1999;SL;Political Specialist;Very High;M6005;X
6126;Head of Military Intelligence;Sidney Souers;1945;1964;1999;SD;Naval Intelligence Specialist;Very High;M6126;X
6127;Head of Military Intelligence;Roscoe H. Hillenkoetter;1947;1964;1999;SL;Dismal Enigma;Very High;M6127;X
6128;Head of Military Intelligence;William J. Donovan;1940;1964;1999;ML;Political Specialist;High;M6128;X
6130;Head of Military Intelligence;Hoyt S. Vandenberg;1936;1964;1999;ML;Technical Specialist;High;M6130;X
6131;Head of Military Intelligence;Henry Cabot Lodge;1944;1964;1999;ML;Dismal Enigma;High;M6131;X
6132;Head of Military Intelligence;William Leahy;1936;1964;1999;FA;Naval Intelligence Specialist;High;Kaiserreich Leahy;X
6133;Head of Military Intelligence;Carl Spaatz;1936;1964;1999;FA;Logistics Specialist;Very High;KRSpaatz;X
6134;Head of Military Intelligence;Harry Haywood;1936;1964;1999;LE;Dismal Enigma;High;M6026;X
6136;Chief of Staff;George C. Marshall;1939;1964;1999;SL;School of Fire Support;High;M6064;X
6137;Chief of Staff;Dwight D. Eisenhower;1942;1964;1999;ML;School of Manoeuvre;High;M6137;X
6140;Chief of Staff;George Van Horn Moseley;1936;1964;1999;FA;School of Defence;High;M6052;X
6141;Chief of Staff;Hans Amlie;1936;1964;1999;ST;School of Defence;High;M6027;X
6143;Chief of Army;David McKenzie Key;1940;1964;1999;SD;Static Defence Doctrine;High;M6143;X
6144;Chief of Army;George C. Marshall;1939;1964;1999;SL;Decisive Battle Doctrine;High;M6064;X
6145;Chief of Army;Omar N. Bradley;1944;1964;1999;SD;Armoured Spearhead Doctrine;High;M6145;X
6147;Chief of Army;Dwight D. Eisenhower;1942;1964;1999;ML;Guns and Butter Doctrine;High;M6137;X
6148;Chief of Army;Kenneth Althaus;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;M6018;X
6149;Chief of Army;Oliver Law;1936;1964;1999;LE;Decisive Battle Doctrine;High;M6149;X
6150;Chief of Army;Steve Nelson;1940;1964;1999;LWR;Static Defence Doctrine;High;M6150;X
6151;Chief of Army;Robert Merriman;1944;1964;1999;ST;Armoured Spearhead Doctrine;High;M6028;X
6153;Chief of Navy;Frank Knox;1941;1964;1999;SL;Base Control Doctrine;High;M6048;X
6154;Chief of Navy;Charles Edison;1940;1964;1999;SD;Open Seas Doctrine;High;M6154;X
6155;Chief of Navy;James V. Forrestal;1944;1964;1999;SL;Decisive Naval Battle Doctrine;High;M6155;X
6156;Chief of Navy;Chester W. Nimitz;1941;1964;1999;SL;Power Projection Doctrine;High;M6156;X
6157;Chief of Navy;William C. Bullitt;1947;1964;1999;SL;Base Control Doctrine;High;M6157;X
6158;Chief of Navy;William H. Standley;1936;1964;1999;SL;Base Control Doctrine;High;M6158;X
6159;Chief of Navy;Harold R. Stark;1939;1964;1999;SL;Open Seas Doctrine;High;M6159;X
6160;Chief of Navy;Andrew J. Higgins;1943;1964;1999;ML;Base Control Doctrine;High;M6160;X
584231;Minister of Armament;Andrew W. Hockenhull;1936;1950;1999;ML;Bank President;High;USA Andrew Hockenhull;X
6161;Chief of Navy;Henry J. Kaiser;1940;1964;1999;ML;Open Seas Doctrine;High;M6082;X
6162;Chief of Navy;William D. Leahy;1936;1964;1999;ML;Decisive Naval Battle Doctrine;Very High;M6162;X
6259;Head of State;William Dudley Pelley;1936;1964;1999;NS;His Eyes Have Seen The Glory;Very High;Pelley;X
6163;Chief of Navy;Earnest King;1936;1964;1999;FA;Power Projection Doctrine;High;Kaiserreich EarnestKing;X
6164;Chief of Navy;William Leahy;1936;1964;1999;FA;Open Seas Doctrine;High;Kaiserreich Leahy;X
6165;Chief of Navy;John Abt;1936;1964;1999;LE;Base Control Doctrine;Medium;M6029;X
6167;Chief of Air Force;Henry H. Arnold;1938;1964;1999;ML;Carpet Bombing Doctrine;High;M6167;X
6171;Chief of Air Force;Leroy Grumman;1944;1964;1999;ML;Naval Aviation Doctrine;High;M6080;X
6172;Chief of Air Force;Edward Rickenbacher;1936;1964;1999;FA;Air Superiority Doctrine;Very High;Kaiserreich Rickenbacher 2;X
6173;Chief of Air Force;Nathan B. Forrest III;1940;1964;1999;PA;Army Aviation Doctrine;High;M6173;X
6174;Chief of Air Force;Martin J. Monti;1943;1964;1999;FA;Naval Aviation Doctrine;High;M6174;X
6175;Chief of Air Force;John Abt;1936;1964;1999;LE;Army Aviation Doctrine;Medium;M6029;X
6176;Chief of Staff;William D. Leahy;1941;1964;1999;ML;School of Manoeuvre;Very High;M6162;X
6177;Minister of Armament;Averell H. Harriman;1946;1964;1999;SD;Resource Industrialist;High;M6177;X
6179;Chief of Air Force;Carl A. Spaatz;1942;1964;1999;ML;Army Aviation Doctrine;Very High;L60557;X
6180;Chief of Air Force;Ira C. Eaker;1944;1964;1999;SL;Carpet Bombing Doctrine;Very High;L60506;X
6181;Chief of Staff;Douglas MacArthur;1936;1964;1999;ML;School of Psychology;High;L60250;X
6182;Chief of Army;Douglas MacArthur;1936;1964;1999;ML;Elastic Defence Doctrine;High;L60250;X
6183;Chief of Navy;Robert L. Ghormley;1936;1964;1999;ML;Open Seas Doctrine;Very High;L60406;X
6184;Head of Military Intelligence;Frank B. Rowlett;1936;1964;1999;SL;Naval Intelligence Specialist;High;M6184;X
6024;Minister of Armament;Joseph P. Lash;1936;1964;1999;LWR;Resource Industrialist;Very High;M6024;X
6186;Head of State;William F. Lemke;1936;1964;1999;PA;Barking Buffoon;Medium;M6097;X
