UZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
526001;Head of State;Usman Yusupov;1936;1964;1999;LE;Barking Buffoon;High;M526001;x
526002;Head of Government;Akmal Ikramov;1936;1964;1999;LE;Naive Optimist;High;M526002;x
526003;Foreign Minister;Fayzulla Khodzhayev;1936;1964;1999;LE;Iron Fisted Brute;High;M526003;x
526004;Minister of Armament;Abduvali Muminov;1936;1964;1999;LE;Tank Proponent;Medium;M526004;x
526005;Minister of Security;Abdudzhabar Abdurrakhmanov;1936;1964;1999;LE;Back Stabber;Medium;M526005;x
526006;Head of Military Intelligence;Gila I. Dzhunkovskaya;1936;1964;1999;LE;Logistics Specialist;Medium;M526006;x
526007;Chief of Staff;Teginbek Shokirov;1936;1964;1999;LE;School of Fire Support;Medium;M526007;x
526008;Chief of Army;Abdumannob Streshnev;1936;1964;1999;LE;Armoured Spearhead Doctrine;Medium;M526008;x
526009;Chief of Navy;Vlateslav Doronin;1936;1964;1999;LE;Base Control Doctrine;Medium;M526009;x
526010;Chief of Air Force;Istvan M. Dzuba;1936;1964;1999;LE;Carpet Bombing Doctrine;Medium;M526010;x
526011;Head of State;Yoldashbay oglu Babayev;1936;1964;1999;SD;Insignificant Layman;High;M526011;x
526012;Head of State;Polvoniz Yusopov;1936;1964;1999;PA;Weary Stiffneck;High;M526012;x
526013;Head of Government;Farqat Nurutdinov;1936;1964;1999;SD;Corporate Suit;High;M526013;x
526014;Head of Government;Abdurahim Martemyanov;1936;1964;1999;PA;Silent Workhorse;High;M526014;x
526015;Foreign Minister;Alisher Ogorodov;1936;1964;1999;LE;The Cloak N Dagger Schemer;High;M526015;x
526016;Foreign Minister;Ashkar Mukhitdinov;1936;1964;1999;SD;Ideological Crusader;High;M526016;x
526017;Foreign Minister;Alishaer Jemil;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;M526017;x
526018;Foreign Minister;Nikolay Chichagov;1936;1964;1999;PA;Apologetic Clerk;High;M526018;x
526019;Foreign Minister;Alisher Ivanov;1936;1964;1999;PA;Great Compromiser;High;M526019;x
526020;Minister of Armament;Bil Filipov;1936;1964;1999;LE;laissez-faire capitalist;Medium;M526020;x
526021;Minister of Armament;Gennadij Davidov;1936;1964;1999;LE;Air to Ground Proponent;Medium;M526021;x
526022;Minister of Armament;Fakriddin Dzhevetsky;1936;1964;1999;SD;Military Entrepreneur;Medium;M526022;x
526023;Minister of Armament;Hamid Dorodnitsyn;1936;1964;1999;SD;Strategic Air Proponent;Medium;M526023;x
526024;Minister of Armament;Babur Ipatiev;1936;1964;1999;PA;Air Superiority Proponent;Medium;M526024;x
526025;Minister of Armament;Bahauddin Gorchakov;1936;1964;1999;PA;Military Entrepreneur;Medium;M526025;x
526026;Minister of Security;Innokenti Gerasimov;1936;1964;1999;LE;Crime Fighter;Medium;M526026;x
526027;Minister of Security;Nizam Dondukov;1936;1964;1999;LE;Compassionate Gentleman;Medium;M526027;x
526028;Minister of Security;Yamin Dmitriev;1936;1964;1999;SD;Efficient Sociopath;Medium;M526028;x
526029;Minister of Security;Boris Dmitrievsky;1936;1964;1999;SD;Compassionate Gentleman;Medium;M526029;x
526030;Minister of Security;Mammaduli Dinnei;1936;1964;1999;PA;Silent Lawyer;Medium;M526030;x
526031;Minister of Security;Salim Yevgetorv;1936;1964;1999;PA;Man of the People;Medium;M526031;x
526032;Head of Military Intelligence;Mikhail Dubkov;1936;1964;1999;LE;Technical Specialist;Medium;M526032;x
526033;Head of Military Intelligence;Ibi Dobatkin;1936;1964;1999;SD;Dismal Enigma;Medium;M526033;x
526034;Head of Military Intelligence;Avram Golitsin;1936;1964;1999;SD;Logistics Specialist;Medium;M526034;x
526035;Head of Military Intelligence;Hamza Dobrynin;1936;1964;1999;PA;Logistics Specialist;Medium;M526035;x
526036;Head of Military Intelligence;Felix Dorozhinsky;1936;1964;1999;PA;Dismal Enigma;Medium;M526036;x
526037;Chief of Staff;Furkat Drachenk;1936;1964;1999;SD;School of Mass Combat;Medium;M526037;x
526038;Chief of Staff;Babur Ipatiev;1936;1964;1999;PA;School of Manoeuvre;Medium;M526038;x
526039;Chief of Army;Nikolay Ghukov;1936;1964;1999;SD;Static Defence Doctrine;Medium;M526039;x
526040;Chief of Army;Nazhe Dudin;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;M526040;x
526041;Chief of Navy;Osman Dema;1936;1964;1999;SD;Indirect Approach Doctrine;Medium;M526041;x
526042;Chief of Navy;Salim Ibadinov;1936;1964;1999;PA;Open Seas Doctrine;Medium;M526042;x
526043;Chief of Air Force;Gennadij Gvornikov;1936;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M526043;x
526044;Chief of Air Force;Babur Ipatiev;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M526038;x
