VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
38002;Head of Government;Juan Bautista Pérez;1936;1964;1999;SC;Political Protege;High;Kaiserreich Juan Bautista Pérez;X
38003;Foreign Minister;Esteban Gíl Borges;1936;1964;1999;SC;Biased Intellectual;Medium;M38003;X
38004;Minister of Armament;Pedro Beauperthuy Urich;1936;1964;1999;SC;Military Entrepreneur;Low;M38004;X
38005;Minister of Security;Santiago Key Ayala;1936;1964;1999;SL;Silent Lawyer;Medium;M38005;X
38120;Head of Military Intelligence;Santiago Key Ayala;1936;1964;1999;SL;Dismal Enigma;Medium;M38005;X
38006;Head of Military Intelligence;Floriavaldo de Vasquez Linhares;1936;1964;1999;PA;Political Specialist;Medium;M38006;X
38007;Chief of Staff;Isaías Medina Angarita;1936;1964;1999;ML;School of Psychology;Low;M38007;X
38008;Chief of Army;Isaías Medina Angarita;1936;1964;1999;ML;Static Defence Doctrine;Low;M38007;X
38141;Chief of Staff;Isaías Medina Angarita;1936;1964;1999;ML;School of Defence;Low;M38007;X
38009;Chief of Navy;Humberto Santabria Villa;1936;1964;1999;PA;Base Control Doctrine;Medium;M38009;X
38010;Chief of Air Force;David Lopez Henriques;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M38010;X
38011;Head of State;Juan Bautista Fuenmayor;1936;1964;1999;LWR;Popular Figurehead;High;Kaiserreich Juan Bautista Fuenmayor;X
38012;Head of State;Jovito Villalba;1936;1964;1999;LWR;Powerhungry Demagogue;High;M38021;X
38013;Head of State;Isidoro Ruiz Tuerro;1936;1964;1999;FA;Resigned Generalissimo;High;M38011;X
38014;Head of State;Juan Bautista Pérez;1936;1964;1999;SC;Popular Figurehead;High;Kaiserreich Juan Bautista Pérez;X
38015;Head of State;Eleazar López Contreras;1936;1964;1999;SC;Barking Buffoon;High;Kaiserreich Eleazar López Contreras;X
38111;Chief of Army;Eleazar López Contreras;1936;1964;1999;SC;Doctrine of Autonomy;High;Kaiserreich Eleazar López Contreras;X
38150;Chief of Staff;Eleazar López Contreras;1936;1964;1999;SC;School of Psychology;High;Kaiserreich Eleazar López Contreras;X
38016;Head of State;Isaías Medina Angarita;1936;1964;1999;ML;Resigned Generalissimo;High;M38007;X
38017;Head of State;Rómulo Betancourt;1936;1964;1999;SD;Autocratic Charmer;High;L270001;X
38018;Head of State;Rafael Caldera;1936;1964;1999;SC;Insignificant Layman;High;VEN_Rafael_Antonio_Caldera_Rodriguez;X
38019;Head of State;Rómulo Gallegos Freire;1947;1964;1999;SD;Popular Figurehead;Medium;M38051;X
38020;Head of State;Carlos Delgado Chalbaud;1948;1964;1999;FA;Resigned Generalissimo;Medium;L270004;X
38021;Head of State;Germán Suárez Flamerich;1950;1964;1999;SC;Insignificant Layman;Medium;M38084;X
38022;Head of State;Marcos Perez Jimenez;1936;1964;1999;FA;Barking Buffoon;Medium;L270021;X
38023;Head of State;Wolfgang Larrazábal Ugueto;1936;1948;1999;LWR;Powerhungry Demagogue;Medium;L270011;X
