VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
57001;Head of State;Phillipe Pétain;1936;1964;1999;PA;Hero Of Verdun;High;M57001;X
57002;Head of Government;Jean-Francois Darlan;1936;1947;1999;PA;Old Admiral;High;M57002;X
57003;Foreign Minister;Paul Baudouin;1936;1965;1999;PA;Iron Fisted Brute;High;M57003;X
57004;Minister of Armament;Marius Berliet;1936;1945;1945;PA;Industrialiser;Very High;M57004;X
57005;Minister of Security;Joseph Barthélemy;1936;1964;1999;PA;Silent Lawyer;Medium;M57005;X
57006;Head of Military Intelligence;René Bousquet;1936;1964;1999;PA;Technical Specialist;Medium;M57006;X
57007;Chief of Staff;Charles Huntzinger;1936;1950;1999;PA;School of Defence;High;M57007;X
57008;Chief of Army;Augustin Guillaume;1946;1970;1999;PA;Elastic Defence Doctrine;High;L24091;X
57009;Chief of Navy;Charles Platon;1936;1956;1999;FA;Decisive Naval Battle Doctrine;High;L24209;X
57010;Chief of Air Force;Roger Pennès;1934;1965;1999;SC;Carpet Bombing Doctrine;High;LRoger-Jean-Eugene_Pennes;X
57011;Minister of Armament;Paul Baudouin;1936;1965;1999;PA;Bank President;High;M57003;X
57012;Foreign Minister;Jean-Francois Darlan;1941;1947;1999;PA;General Staffer;High;M57002;X
57013;Foreign Minister;Charles André Weiss;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
57014;Foreign Minister;Albert Thomas;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
57015;Chief of Staff;Augustin Guillaume;1946;1970;1999;PA;School of Mass Combat;High;L24091;X
57016;Foreign Minister;Gabriel Hanoteaux;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
57017;Chief of Staff;Jean de Lattre de Tassigny;1939;1955;1999;PA;School of Manoeuvre;Very High;M2047;X
57018;Foreign Minister;Arne Leroy;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
57019;Minister of Armament;Tulio Franco Franco;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
57020;Minister of Armament;Georges Durand-Viel;1931;1959;1999;SC;Battle Fleet Proponent;High;LGeorges_Durand-Viel;X
57021;Minister of Armament;Robert Haas;1942;1964;1999;PA;Laissez-Faire Capitalist;Medium;M57021;X
57022;Minister of Armament;Stephane Auphan;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
57023;Minister of Armament;Paul Painleve;1925;1937;1999;PA;Administrative Genius;High;M57023;X
57024;Minister of Armament;Paul Mantoux;1936;1956;1999;PA;Mixed Economy;High;M57024;X
57025;Minister of Security;Jean-Francois Darlan;1940;1947;1999;PA;Back Stabber;Low;M57002;X
57026;Minister of Security;Édouard Herriot;1936;1964;1999;SL;Silent Lawyer;Very High;VICEdo;X
57027;Minister of Security;Jules Brévié;1936;1964;1999;PA;Efficient Sociopath;High;MJules_Brevie;X
57028;Minister of Security;Marius Viple;1942;1964;1999;PA;Man of the People;Medium;M57028;X
57029;Minister of Security;René Bousquet;1939;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
57030;Minister of Security;Raphael Alibert;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
57031;Minister of Security;Gouffre de Lapradelle;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
57032;Minister of Security;François de Menthon;1940;1970;1999;SL;Crime Fighter;High;vic_frcsdmth;X
57033;Chief of Staff;Jean-Francois Darlan;1941;1947;1999;PA;School of Psychology;High;M57002;X
57034;Chief of Staff;Eugene Bridoux;1941;1955;1999;PA;School of Mass Combat;Medium;LEugene_ML_Bridoux;X
57035;Chief of Army;Eugene Bridoux;1941;1955;1999;PA;Armoured Spearhead Doctrine;Medium;LEugene_ML_Bridoux;X
57036;Chief of Navy;Jean-Pierre Esteva;1936;1951;1999;PA;Open Seas Doctrine;High;L380039;X
57037;Chief of Navy;Jean Marie Abrial;1943;1962;1999;PA;Open Seas Doctrine;Medium;L380033;X
57038;Chief of Air Force;Jean-François Jannekeyn;1942;1970;1999;PA;Carpet Bombing Doctrine;High;L380051;X
57039;Head of Government;Philippe de Hauteclocque;1947;1970;1999;SC;Respected War Hero;High;L24116;X
57040;Head of Military Intelligence;Gouffre de Lapradelle;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
57041;Foreign Minister;François Piétri;1936;1966;1999;SC;Great Compromiser;High;VICPie;X
57042;Minister of Armament;François Piétri;1936;1966;1999;SC;Administrative Genius;High;VICPie;X
57043;Foreign Minister;Philippe Henriot;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich PhilippeHenriot;X
57044;Minister of Armament;Eugène Schueller;1936;1957;1999;FA;Laissez-Faire Capitalist;High;kaiserreich eugeneschueller;X
57045;Minister of Security;Eugène Deloncle;1936;1964;1999;FA;Efficient Sociopath;Very High;kaiserreich deloncle2;X
57046;Head of Military Intelligence;André Dewavrin;1936;1964;1999;FA;Political Specialist;Very High;kaiserreich AndreDewavrin;X
57047;Minister of Armament;Édouard Branly;1936;1940;1999;FA;Theoretical Scientist;High;kaiserreich eduoardbranly;X
57049;Chief of Staff;Louis Franchet d'Espèrey;1936;1942;1999;PA;School of Psychology;High;Kaiserreich d'Esperey;X
57048;Chief of Army;François de la Rocque;1936;1964;1999;FA;Guns and Butter Doctrine;Very High;kaiserreich francoisdelarocque;X
57050;Chief of Air Force;Jean Mermoz;1936;1964;1999;FA;Aviation Organizer;High;kaiserreich JeanMermoz;X
57051;Minister of Armament;Louis Franchet d'Espèrey;1936;1942;1999;PA;Military Entrepreneur;High;Kaiserreich d'Esperey;X
57052;Head of State;Francis Xavier de Borbón-Parma;1936;1964;1999;FA;Autocratic Charmer;High;M10034;X
57053;Head of State;Charles de Gaulle;1936;1964;1999;PA;Reformist Soldierhos;High;M2027;X
57054;Head of Government;Charles de Gaulle;1936;1964;1999;PA;Reformist Soldierhog;High;M2027;X
57055;Minister of Armament;Charles de Gaulle;1936;1964;1999;PA;Tank Proponent;High;M2027;X
57056;Chief of Staff;Charles de Gaulle;1936;1964;1999;PA;School of Manoeuvre;High;M2027;X
57057;Head of State;S.M.R. Jean III;1936;1941;1999;PA;Bourbon Restorer;High;kaiserreich_jeanIII;X
57058;Head of State;S.M.I. Louis Napoleon VI;1936;1964;1999;PA;Emperor Of The French;High;M582001;X
