VIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
542001;Head of State;H.R.M. Bao Dai;1936;1964;1999;SL;Weary Stiffneck;High;M542001;x
542002;Head of Government;René Robin;1936;1964;1999;SL;Flamboyant Tough Guy;High;M542002;x
542003;Foreign Minister;Tong Doc Phuong;1936;1964;1999;SL;The Cloak N Dagger Schemer;High;M542003;x
542004;Minister of Armament;Nguyen Van Tam;1936;1964;1999;SL;Resource Industrialist;Medium;M542004;x
542005;Minister of Security;Ho Dac Trung;1936;1964;1999;SL;Man of the People;Medium;M542005;x
542006;Head of Military Intelligence;Jean Decoux;1936;1964;1999;SL;Logistics Specialist;Medium;M542006;x
542007;Chief of Staff;Georges Catroux;1936;1964;1999;SL;School of Manoeuvre;Medium;L24029;x
542008;Chief of Army;Guy de Beauharné;1936;1964;1999;SL;Static Defence Doctrine;Medium;M542008;x
542009;Chief of Navy;Pierre Pasquier;1936;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M542009;x
542010;Chief of Air Force;Jules Brévié;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M542010;x
542012;Head of State;Ho Chi Minh;1936;1964;1999;LE;Ruthless Powermonger;High;M542012;x
542013;Head of Government;Jules Brévié;1936;1964;1999;SL;old airmarshal;High;M542010;x
542014;Head of Government;Georges Catroux;1939;1964;1999;SL;Old General;High;L24029;x
542015;Head of Government;Jean Decoux;1940;1964;1999;SL;Naive Optimist;High;M542006;x
542016;Head of Government;Georges Thierry d'Argenlieu;1945;1964;1999;SL;Old Admiral;High;L24173;x
542017;Head of Government;Emilé Bollaert;1947;1964;1999;SL;Corporate Suit;High;M542017;x
542018;Head of Government;Ngo Dinh Diem;1936;1964;1999;PA;Smiling Oilman;High;M542018;x
542019;Head of Government;Truong Tchin;1936;1964;1999;LE;Backroom Backstabber;High;M542019;x
542020;Foreign Minister;Louis Jauffré;1938;1964;1999;SL;Great Compromiser;High;M542020;x
542021;Foreign Minister;Leonce Jore;1940;1964;1999;SL;General Staffer;High;M542021;x
542022;Foreign Minister;Ngo Dinh Diem;1943;1964;1999;SL;Iron Fisted Brute;High;M542018;x
542023;Foreign Minister;Nguyen Van Xuan;1936;1964;1999;PA;Apologetic Clerk;High;M542023;x
542024;Foreign Minister;Pham Van Dong;1936;1964;1999;LE;Ideological Crusader;High;M542024;x
542025;Minister of Armament;Nguyen Van Thinh;1941;1964;1999;SL;Battle Fleet Proponent;Medium;M542025;x
542026;Minister of Armament;Pierre Lefaucheaux;1943;1964;1999;SL;Administrative Genius;Medium;M542026;x
542027;Minister of Armament;Le Van Hoac;1936;1964;1999;PA;Theoretical Scientist;Medium;M542027;x
542028;Minister of Armament;Duong Thieu Tuoc;1941;1964;1999;PA;Submarine Proponent;Medium;M542028;x
542029;Minister of Armament;Pham Duy Thon;1943;1964;1999;PA;Resource Industrialist;Medium;M542029;x
542030;Minister of Armament;Le Duan;1936;1964;1999;LE;Military Entrepreneur;Medium;M542030;x
542031;Minister of Security;Pierre Louis-Dreyfus;1942;1964;1999;SL;Compassionate Gentleman;Medium;M542031;x
542032;Minister of Security;Tran Gia Thoai;1943;1964;1999;SL;Efficient Sociopath;Medium;M542032;x
542033;Minister of Security;Ngo Dinh Nhu;1936;1964;1999;PA;Prince of Terror;Medium;M542033;x
542034;Minister of Security;Duong Van Minh;1943;1964;1999;PA;Back Stabber;Medium;M542034;x
542035;Minister of Security;The Lu;1936;1964;1999;LE;Silent Lawyer;Medium;M542035;x
542036;Head of Military Intelligence;Emilé Bollaert;1941;1964;1999;SL;Political Specialist;Medium;M542017;x
542037;Head of Military Intelligence;Pierre Iehlé;1943;1964;1999;SL;Naval Intelligence Specialist;Medium;M542037;x
542038;Head of Military Intelligence;Pham Toc Quia;1936;1964;1999;PA;Dismal Enigma;Medium;M542038;x
542039;Head of Military Intelligence;Phan Huy Quat;1936;1964;1999;LE;Political Specialist;Medium;M542039;x
542040;Head of Military Intelligence;Le Thanh;1941;1964;1999;LE;Industrial Specialist;Medium;M542040;x
542041;Chief of Staff;Leonce Jore;1940;1964;1999;SL;School of Fire Support;Medium;M542021;x
542042;Chief of Staff;Le Quan;1945;1964;1999;SL;School of Mass Combat;Medium;M542042;x
542043;Chief of Staff;Nguyen Huu Coo;1936;1964;1999;PA;School of Defence;Medium;M542043;x
542044;Chief of Staff;Vo Nguyen Giap;1936;1964;1999;LE;School of Psychology;Medium;M542044;x
542045;Chief of Army;Jean Decoux;1941;1964;1999;SL;Decisive Battle Doctrine;Medium;M542006;x
542046;Chief of Army;Duong Van Minh;1945;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M542046;x
542047;Chief of Army;Ho Chi Minh;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;M542047;x
542048;Chief of Army;Vo Nguyen Giap;1942;1964;1999;LE;Elastic Defence Doctrine;Medium;M542048;x
542049;Chief of Navy;Pierre Iehlé;1942;1964;1999;SL;Base Control Doctrine;Medium;M542037;x
542050;Chief of Navy;Georges Thierry d'Argenlieu;1944;1964;1999;SL;Open Seas Doctrine;Medium;L24173;x
542051;Chief of Navy;Ho Tan Quyen;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M542051;x
542052;Chief of Navy;Thrang Tun Doc;1936;1964;1999;LE;Power Projection Doctrine;Medium;M542052;x
542053;Chief of Air Force;Michel Boudier;1942;1964;1999;SL;Naval Aviation Doctrine;Medium;M542053;x
542054;Chief of Air Force;Frederic Le Langé;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M542054;x
542055;Chief of Air Force;Nguyen Huu Tho;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M542055;x
542056;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
542057;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
