YUG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
20001;Head of State;Pavle Karadjordjevic;1936;1964;1999;PA;Benevolent Gentleman;High;M20001;x
20002;Head of Government;Milan Stojadinovic;1936;1964;1999;PA;Silent Workhorse;High;M20002;x
20003;Foreign Minister;Milan Stojadinovic;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M20002;x
20004;Minister of Armament;Boguljub Jevtic;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M20004;x
20005;Minister of Security;Pavle Karadjordjevic;1936;1964;1999;PA;Prince of Terror;High;M20001;x
20006;Head of Military Intelligence;Borivoje Josimovic;1936;1964;1999;PA;Political Specialist;Medium;L46013;x
20007;Chief of Staff;Petar Kosic;1936;1964;1999;PA;School of Mass Combat;Medium;L46015;x
20008;Chief of Army;Aleksandar Cincar-Markovic;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;L46005;x
20009;Chief of Navy;Bogoljub Ilic;1936;1964;1999;PA;Base Control Doctrine;Very High;L46043;x
20010;Chief of Air Force;Dusan Simovic;1936;1964;1999;PA;Army Aviation Doctrine;Medium;L46060;x
;Replacements;;;;;;;;;x
20031;Head of State;Josip Broz;1936;1964;1999;LWR;Powerhungry Demagogue;High;M20021;x
20032;Head of Government;Dragisa Cvetkovic;1939;1964;1999;PA;Naive Optimist;High;M20032;x
20033;Head of Government;Dusan Simovic;1936;1964;1999;SC;Happy Amateur;High;M20033;x
20034;Head of Government;Slobodan Jovanovic;1942;1964;1999;FA;Political Protege;High;M20034;x
20035;Head of Government;Milos Trifunovic;1943;1964;1999;NS;Old General;High;M20035;x
20036;Head of Government;Ivan Subasic;1944;1964;1999;ML;Corporate Suit;High;M20014;x
20037;Head of Government;Josip Broz;1936;1964;1999;LWR;Backroom Backstabber;High;M20021;x
20038;Head of Government;Vlatko Macek;1936;1964;1999;SD;old airmarshal;High;M20038;x
20039;Foreign Minister;Aleksandar Cincar-Markovic;1939;1964;1999;PA;General Staffer;Very High;L46005;x
20040;Foreign Minister;Momcilo Nincic;1941;1964;1999;SC;Great Compromiser;Medium;M20013;x
20041;Foreign Minister;Slobodan Jovanovic;1943;1964;1999;FA;Biased Intellectual;High;M20034;x
20042;Foreign Minister;Milan Grol;1943;1964;1999;NS;Apologetic Clerk;High;M20042;x
20043;Foreign Minister;Bozidar Puric;1943;1964;1999;NS;Ideological Crusader;High;M20043;x
20044;Foreign Minister;Ivan Subasic;1944;1964;1999;ML;Apologetic Clerk;Medium;M20014;x
20045;Foreign Minister;Stanoje Simic;1936;1964;1999;LWR;Great Compromiser;Medium;M20023;x
20046;Foreign Minister;Vlatko Macek;1936;1964;1999;SD;Apologetic Clerk;Medium;M20038;x
20047;Foreign Minister;Edvard Kardelj;1941;1964;1999;SD;Ideological Crusader;Very High;M20047;x
20048;Foreign Minister;Dimitrije Ljotic;1943;1964;1999;NS;Iron Fisted Brute;Medium;M20048;x
20049;Minister of Armament;Edo Bogdan Markovic;1939;1964;1999;PA;Resource Industrialist;Medium;M20049;x
20050;Minister of Armament;Ladislav Polic;1941;1964;1999;SC;laissez-faire capitalist;Medium;M20050;x
20051;Minister of Armament;Anton Kozarev;1942;1964;1999;FA;Tank Proponent;Medium;M20051;x
20052;Minister of Armament;Tanasije Tasa Dinic;1943;1964;1999;NS;Corrupt Kleptocrat;Medium;M20052;x
20053;Minister of Armament;Petar Ivelich;1944;1964;1999;ML;Theoretical Scientist;Medium;M20053;x
20054;Minister of Armament;Milentije Popovic;1936;1964;1999;LWR;Resource Industrialist;High;M20024;x
20055;Minister of Armament;Draza Mihailovic;1936;1964;1999;SD;Tank Proponent;Medium;M20055;x
20056;Minister of Security;Michel Yovanovic;1939;1964;1999;PA;Compassionate Gentleman;Low;M20056;x
20057;Minister of Security;Momcilo Dujic;1941;1964;1999;SC;Silent Lawyer;Low;M20015;x
