U00;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
58500;Stefan Banach;T2701;8;1930;1945;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58501;Stanislaw Ulam;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58502;Fab.Broni Radom;T2703;5;1930;1970;general_equipment;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58503;Fab. Starachowice;T2704;5;1930;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58504;PWS;T2705;4;1930;1970;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58505;PZInz;T2706;6;1930;1970;mechanics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58506;PZL;T2707;5;1930;1970;aeronautics;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58507;Stocznia Gdansk;T2708;4;1965;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58508;Tadeusz Kutrzeba;T2709;4;1930;1970;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58509;Marian Rejewski;T2710;7;1930;1939;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58510;Ludomil Rayski;T2711;4;1930;1970;aircraft_testing;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58511;Jerzy Swirski;T2712;4;1930;1970;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58512;Uniwersytet Jagiellonski;UJ_T;5;1965;1970;chemistry;mathematics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58513;Politechnika Lwowska;lwow_T;4;1965;1970;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58514;Lwow School of Mathematics;lwowM_T;7;1965;1970;nuclear_physics;mathematics;nuclear_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58515;ANBO;T2100;4;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58516;CCI;T2101;4;1930;1970;industrial_engineering;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58517;Povilas Plechavicius;T2102;3;1930;1944;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58518;Antanas Gustaitis;T2103;4;1930;1941;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58519;Lithuanian Railways;T2104;3;1930;1960;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58520;University of Vilnius;T2105;3;1930;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58521;Lithuania Military Academy;T2106;2;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58522;Gediminas' Engineering Institute;T3;4;1944;1970;mathematics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58523;SpeTra Automotive Industries;T11;3;1942;1970;mechanics;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58524;ANBO '44;T2100;5;1965;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58525;CCI '44;T2101;5;1965;1970;industrial_engineering;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58526;Lithuanian Railways '44;T2104;4;1965;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58527;University of Vilnius '44;T2105;5;1965;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58528;Flota Czarnomorska;T14004;5;1960;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58529;Akademia Morska w Odessie;T14011;4;1960;1970;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58530;Wladyslaw Sikorski;kaiwladyslawsik;5;1930;1970;combined_arms_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58531;Witold Urbanowicz;kaiwitoldurb;5;1930;1970;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58532;Polsko-Niemiecka Kompania Transportowa;T13005;5;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
