AFG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7600;Kabul Arsenal;T_AFG_Mashin_Khana;2;1879;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7601;Siemens Afghanistan;T14;3;1937;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7602;German-Afghan Industrial Co.;T6102;3;1930;1970;mechanics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7603;Habibia High School;Habibia_High_SchoolT;2;1903;1970;mathematics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7605;Kabul University;T_AFG_Kabul_University;2;1932;1970;medicine;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7606;Kurt Wagner;T_AFG_Kurt_Albert_Wagner;2;1920;1950;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7607;Afghan Air Force;T12510;2;1924;1947;piloting;aeronautics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7608;Afghan Air Force;T12510;3;1947;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7609;Shah Wali Khan;T_AFG_Shah_Wali_Khan;2;1929;1950;small_unit_tactics;large_unit_tactics;centralized_execution;maneuver_tactics;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7610;Oskar von Niedermayer;T_AFG_Oskar_von_Niedermayer;3;1920;1950;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7611;Mohammed Daoud Khan;T_AFG_Mohammed_Daoud_Khan;4;1950;1970;small_unit_tactics;large_unit_tactics;centralized_execution;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7604;Quetta Cadet College;Quettatech;2;1930;1970;mountain_training;small_unit_tactics;decentralized_execution;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
