ARA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x																			 
9400;Arab National Bank;T9400;4;1930;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x9401;Ayoub Co.;T9401;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9402;Cairo University;T9402;3;1930;1970;management;chemistry;mathematics;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9403;Damascus University;T9403;2;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9404;Egyptian Railways;T9404;4;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9405;Ministry of Military Production;T9405;5;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9406;ABU QIR;T9800;3;1930;1970;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9407;El Nasr Automotive;T11605;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9422;EEA;100392;5;1941;1970;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9408;Giza Systems Engineering;T11603;3;1930;1970;electronics;technical_efficiency;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9409;Orascom Construction Industries;T202;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9410;The Arabian Contractor Company;T206;2;1930;1970;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9411;Arab Chemicals;T4002;3;1930;1970;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9412;Arabic Aircraft Industries;T1409;3;1930;1970;aeronautics;technical_efficiency;avionics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9413;Al-Khaliq Petroleum;T6000;6;1930;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9414;Eilat Ashkelon Pipeline Company;T6100;4;1930;1970;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9415;Jerusalem Military Academy;T10401;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9424;Amman Military School;T10401;2;1930;1970;large_unit_tactics;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9416;The Cairo Yards;T11003;3;1930;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9423;Suez Canal Company;T10809;4;1930;1970;technical_efficiency;management;general_equipment;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9417;Haifa Naval Training;T10402;2;1930;1970;naval_training;centralized_execution;seamanship;large_taskforce_tactics;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9418;Hassan Sabry Pasha;T9406;3;1930;1970;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9419;Mohammed Naguib;T9407;4;1930;1970;bomber_tactics;aircraft_testing;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9425;Abd al-Rahim al-Hajj Muhammad;Z_T_PAL_AL_HAJJ;4;1930;1970;individual_courage;infantry_focus;mountain_training;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9420;Abdelhamid Soliman;T9408;3;1930;1970;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9421;Dufieux;Dufeiux;5;1930;1970;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
