ARM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9500;Armenian Airforce;T_ARM_Airforce;2;1930;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9501;Yerevan Armory;T_ARM_Yerevan_Armory;2;1935;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9502;Ararat Cement Factory;T_ARM_Ararat_Cement;3;1937;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9503;Yerevan State University;T9500;2;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9504;Viktor Hambardzumyan;T_ARM_Viktor_Hambardzumyan;3;1946;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9505;Sergey Mergelyan;T_ARM_Sergey_Mergelyan;4;1947;1970;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9506;Armenak Khanperiants;T_ARM_Sergei_Khudyakov;5;1937;1970;fighter_tactics;bomber_tactics;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9510;Andrey Melik-Shahnazarov;T_ARM_Andrey_Melik-Shahnazarov;4;1935;1945;small_unit_tactics;decentralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9507;Kristapor Araratyan;T_ARM_Christophor_Araratov;4;1918;1942;large_unit_tactics;centralized_execution;individual_courage;artillery;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9508;Hmayak Babayan;T_ARM_Hmayak_Babayan;4;1945;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9509;Hovhannes Baghramyan;T_ARM_Bagramyan;5;1942;1970;large_unit_tactics;centralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
