AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
500;Percival Aircraft Co.;T_AST_Percival_Aircraft;5;1933;1970;aeronautics;fighter_design;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
501;Commonwealth Aircraft Corporation;T903;5;1936;1970;aeronautics;fighter_design;bomber_design;general_equipment;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
502;de Havilland Australasia;T3001;6;1927;1970;aeronautics;fighter_design;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
503;Lawrence Wackett;T90080;6;1930;1947;rocketry;aeronautics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
504;LRWE;T_AST_Woomera_Rocket_Range;6;1947;1970;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
505;Williamstown Naval Dockyard;100018;4;1874;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
506;Cockatoo Island Shipyard;T513;4;1857;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
507;Whyalla Steelworks & Shipyard;T_AST_Whyalla_Steelworks;5;1941;1970;naval_engineering;naval_artillery;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
508;Cockatoo Island Shipyard;T513;6;1970;1970;naval_engineering;naval_artillery;carrier_design;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
509;Lithgow Small Arms Factory;T_AST_LithgowArms;5;1930;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
510;Charles Ruwolt Pty Ltd.;T_AST_CharlesRuwolt;5;1930;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
511;Army Inventions Directorate;T500;5;1940;1970;mechanics;electronics;general_equipment;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
512;ANZAC Arsenal;T313;5;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
513;Australasian Vickers Ltd.;T907;7;1970;1970;artillery;mechanics;naval_engineering;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
514;New South Wales State Railways;T_AST_NSW_Railways;5;1932;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515;General Motors-Holden's Ltd.;T9008;6;1931;1970;mechanics;electronics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
