AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
600;Hirtenberger-Hopfner;T_AUS_Hirtenberger-Hopfner;5;1930;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
601;Phönix Flugzeugwerke;T601;5;1930;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
602;Aviatik;kaiserreich_T14;5;1900;1970;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
603;Kármán Tódor;kaiserreich_karman;6;1965;1970;aeronautics;fighter_design;electronics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
604;Avia;T_CZE_Avia;6;1965;1970;aeronautics;fighter_design;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
605;Aero;T_CZE_Aero;6;1965;1970;aeronautics;fighter_design;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
606;Heinkel Flugzeugwerke;T2;7;1965;1970;aeronautics;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
607;Eugen Sänger;Kaiserreich_tech_Saenger;7;1930;1970;aeronautics;bomber_design;technical_efficiency;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
608;Gothaer Waggonfabrik;kaiserreich_T3;7;1965;1970;aeronautics;bomber_design;mechanics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
609;Anselm Franz;T_AUS_Anselm_Franz;6;1930;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
610;Cantieri Navali Triestino;kaiserreich_hajo;4;1930;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611;Seearsenal Pola;T_CRO_Uljanik_Shipyard;4;1930;1970;naval_engineering;naval_artillery;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
612;Stabilimento Tecnico Triestino;T1804;5;1930;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
613;Ganz-Danubius Fiumei Hajógyár;T_HUN_Fiumei_Hajogyar;5;1965;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614;Blohm & Voss;T1;6;1965;1970;naval_engineering;naval_artillery;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615;FÉG;kaiserreich_feg;5;1965;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
616;Wöllersdorfer Werke;T_AUS_Wollersdorfer_Werke;5;1897;1970;artillery;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
617;Zbrojovka Brno;T64089;6;1965;1970;artillery;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
618;Rheinmetall;T13;6;1965;1970;artillery;mechanics;electronics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
619;Steyr-Puch;T603;5;1930;1970;artillery;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
627;Daimler;T600;7;1930;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
621;C-K-D;T_CZE_CKD;7;1965;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
622;Rába;kaiserreich_raba;6;1965;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
623;Ganz-Mávag Rt. ;T1602;6;1965;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
620;Lokomotivfabrik Floridsdorf AG;T_AUS_LOFAG;7;1871;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
624;Manfred Weiss;T1604;7;1965;1970;mechanics;munitions;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
625;Maschinenfabrik Augsburg-Nürnberg;T8;7;1965;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
626;Skoda;kaiserreich_T16;8;1930;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
628;ICN;T1603;5;1965;1970;chemistry;medicine;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
629;SPOLCHEMIE;T_CZE_SPOLCHEMIE;5;1965;1970;chemistry;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630;MOLAJ Rt.;T1606;6;1965;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
631;Österreichische Elektrowerke;T_AUS_Elektrowerke;6;1941;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
632;Telefunken;T_GER_Telefunken;6;1965;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
633;Friedrich Krupp AG;T7;8;1965;1970;artillery;mechanics;munitions;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
634;Thyssen & Co.;T_GER_Thyssen;9;1965;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635;Pintsch;T602;4;1930;1970;mathematics;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
636;Politechnika Lwowska;lwow_T;4;1965;1970;mechanics;electronics;chemistry;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
637;Technische Hochschule Wien;T_AUS_Technische_Hochschule;4;1930;1970;mathematics;aeronautics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
638;Charles University Prague;T1110;5;1965;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
639;Jaroslav Heyrovsky;T1109;6;1965;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
640;Technical University of Budapest;kaiserreich_bme;6;1965;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
