AZB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9600;Azerbaijani Air Force;T_AZB_AirForce;3;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9601;Kerim Kerimov;T_AZB_Kerim_Kerimov;5;1945;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9602;Caucasus and Mercury Shipping Co.;T_AZB_Caspian_Shipping_Company;4;1858;1970;naval_engineering;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9603;Azerbaijani Central Arsenal;T_AZB_Arsenal;3;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9604;Baku Automobile Plant;T1905;3;1941;1970;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9605;Siemens Gedabey;T_AZB_Siemens_Gedabey;3;1901;1970;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9606;Branobel;T10510;5;1916;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9607;Baku State University;T9602;3;1919;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9608;Azerbaijan Polytechnic Institute;T9600;3;1887;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9609;Hasan Abdullayev;T_AZB_Hasan_Abdullayev;5;1948;1970;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9610;Lev Landau;T_AZB_Lev_Landau;7;1943;1970;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9611;Baku Maritime College;T_AZB_Azerbaijan_Marine_Academy;2;1921;1944;naval_engineering;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9612;Azerbaijan Marine Academy;T_AZB_Azerbaijan_Marine_Academy;3;1944;1970;naval_engineering;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9613;Jalil Javadov;T_AZB_Jalil_Javadov;4;1949;1970;small_taskforce_tactics;seamanship;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9614;Viktor Sergeevich Cherokov;T_AZB_Viktor_Cherokov;4;1947;1970;naval_artillery;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9615;Zuleykha Seyidmammadova;T_AZB_Zuleykha_Seyidmammadova;3;1938;1955;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9616;Nureddin Aliyev;T_AZB_Nureddin_Aliyev;4;1954;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9617;Adil Quliyev;T_AZB_Adil_Guliyev;4;1956;1970;fighter_tactics;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9618;Habib bey Salimov;T_AZB_Habib_Salimov;3;1930;1946;small_unit_tactics;decentralized_execution;maneuver_tactics;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9619;Abdulhamid bey Qaytabashi;T_AZB_Abdulhamid_Qaytabashi;4;1930;1950;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9620;Aslan Vezirov;T_AZB_Aslan_Vezirov;4;1946;1970;small_unit_tactics;individual_courage;infantry_focus;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9621;Rüstam Shikhlinski;T_AZB_Rustam_Shikhlinski;5;1920;1943;centralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9622;Hazi Aslanov;T_AZB_Hazi_Aslanov;5;1946;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9623;Qambay Vezirov;T_AZB_Qambay_Vezirov;4;1932;1949;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9624;Hajibaba Zeynalov;T_AZB_Hajibaba_Zeynalov;5;1949;1970;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
