BLR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9700;Paviel Suchi;T_BLR_Pavel_Sukhoi;4;1936;1970;aeronautics;fighter_design;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9719;Prochar Lasiukou;T_BLR_Prokhor_Alekseevich_Losyukov;4;1942;1970;aeronautics;bomber_design;technical_efficiency;aircraft_testing;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9720;Pyotr Papkovich;T_BLR_Pyotr_Fedorovich_Papkovich;4;1934;1952;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9701;Rheinmetall-Mogilev Metallurgical Works;T13;4;1930;1970;artillery;mechanics;munitions;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9702;Minsk Automobile Plant;T_BLR_Minsk_Auto_Plant;4;1940;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9703;Bernard Lapuk;T_BLR_Bernard_Borisovich_Lapuk;4;1943;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9704;Bielaruski Politechnicny Instytut;T_BLR_Polytechnic_Institute;2;1930;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9705;Bielaruski Dziarzauny Univiersitet;T9700;3;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9706;Isaak Bruk;T_BLR_Isaak_Semonovich_Bruk;4;1939;1970;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9707;Piotr Bronevitsky;T_BLR_Pyotr_Semenovich_Bronevitsky;3;1936;1950;naval_artillery;small_taskforce_tactics;naval_training;marine_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9708;Georgiy Kholostyakov;T_BLR_Georgiy_Kholostyakov;4;1950;1970;centralized_execution;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9709;Ivan Bogoslov;T_BLR_Ivan_Efremovich_Bogoslov;4;1936;1945;fighter_tactics;piloting;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9710;Aleksey Blagoveshchensky;T_BLR_Aleksey_Blagoveshchensky;4;1945;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9711;Iosif Skrobuk;T_BLR_Iosif_Vasilevich_Skrobuk;4;1936;1946;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9712;Evgeniy Nikolaenko;T_BLR_Evgeny_Nikolaenko;4;1946;1970;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9713;Evgeniy Leoshenya;T_BLR_Evgeny_Varfolomeevich_Leoshenya;5;1943;1966;decentralized_execution;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9714;Nikolay Rogovskiy;T_BLR_Nikolai_Mikhailovich_Rogovsky;4;1936;1947;small_unit_tactics;centralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9715;Markian Germanovich;T_BLR_Markian_Germanovich;5;1936;1952;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9716;Pyotr Sharangovich;T_BLR_Potr_Mikhailovich_Sharangovich;6;1936;1952;decentralized_execution;individual_courage;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9717;Valentin Penkovskiy;T_BLR_Valentin_Antonovich_Penkovsky;6;1947;1970;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9718;Ivan Yakubovskiy;T_BLR_Ivan_Yakubovsky;7;1952;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
