BOS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9900;VZ ORAO;T_BOS_ORAO;4;1944;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9901;Bosnian National Dockyard;T3802;2;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9902;Sarajevo Arsenal;T3812;3;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9903;BNT-TMiH;T_BOS_BNT;4;1949;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9904;UNIS Pretis;T_BOS_Pretis;4;1948;1970;artillery;general_equipment;munitions;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9905;Bosnian State Railways;T3805;3;1930;1970;mechanics;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9906;Brod Oil Refinery;T_BOS_Rafinerija_Bosanski_Brod;4;1892;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9907;Zeljezara Zenica;T_BOS_Zeljezara_Zenica;5;1892;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9908;University of Sarajevo;T9903;3;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9909;Rudi Cajavec;T_BOS_Rudi_Cajavec;2;1942;1970;bomber_tactics;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9910;Ministarstvo Obrane;T_BOS_Ministarstvo_Obrane;3;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;fighter_tactics;piloting;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9911;Gojkomir von Glogovac;T_BOS_Gojkomir_Glogovac;4;1930;1941;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9912;Muhamed Hadziefendic;T_BOS_Muhamed_Hadziefendic;3;1941;1950;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9913;Rade Hamovic;T_BOS_Ratomir_Rade_Hamovic;5;1950;1970;small_unit_tactics;large_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
