BRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4400;Cassio Muniz;T4400;3;1930;1952;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4401;Companhia Aeronáutica Paulista;T4402;3;1930;1950;aeronautics;bomber_design;fighter_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4402;Companhia Nacional de Navegação Aérea;BRA_CNNA;3;1930;1948;aeronautics;mechanics;electronics;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4403;Indústria Aeronáutica Neiva;T_BRA_Neiva;4;1950;1970;aeronautics;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4404;Embraer S.A.;T_BRA_Embraer;5;1952;1970;aeronautics;bomber_design;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4405;Instituto Tecnológico de Aeronáutica;T_BRA_ITA;4;1944;1970;rocketry;aeronautics;mechanics;avionics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4406;Lloyd Brasileiro;T_BRA_LloydBrasileiro;3;1900;1970;naval_engineering;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4407;AMRJ;T_BRA_AMRJ;4;1942;1970;naval_engineering;naval_artillery;submarine_design;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4408;AMIC;T4405;4;1900;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4409;Arsenal do Brasil;BRA_ADB;4;1930;1940;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4410;Arsenal do Brasil;BRA_ADB;4;1940;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4411;Cordeiro de Farias;T4415;5;1940;1966;artillery;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4412;Mafersa S.A.;T_BRA_Mafersa;4;1938;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4413;Fábrica Nacional de Motores;T_BRA_FNM;4;1942;1970;mechanics;general_equipment;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4414;Avibras Indústria Aeroespacial;T_BRA_Avibras;5;1950;1970;artillery;mechanics;electronics;technical_efficiency;vehicle_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4417;Petróleos do Brasil;T706;4;1969;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4415;Departamento Nacional da Produção Mineral;T4404;4;1930;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4416;Estrada de Ferro Central do Brasil;BRA_efcb;4;1860;1970;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4418;Industrias Matarazzo;BRA_matarazzo;4;1890;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4419;Organizacão Henrique Lage;T4407;4;1930;1970;naval_engineering;naval_artillery;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4420;NMC;T4414;5;1945;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4421;Companhia Siderúrgica Nacional;T4403;5;1942;1970;mechanics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4422;Instituto de Pesquisas Tecnológicas;T4406;3;1933;1948;aeronautics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4423;Instituto de Pesquisas Tecnológicas;T4406;4;1948;1970;mathematics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4424;Fundação Oswaldo Cruz;BRA_fiocruz;4;1900;1970;medicine;chemistry;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4425;Universidade do Brasil;BRA_UDB;3;1930;1940;mathematics;mechanics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
