BUL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
800;Darjavno Aeroplanno Predpriatie;krbul_1;4;1924;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
801;VMZ Sopot;krbul_2;5;1930;1970;artillery;general_equipment;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
802;Atanas Burov;krbul_3;6;1920;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
803;Voenno Uchilishte Sofia;krbul_4;5;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
804;Sava Ivanov;krbul_5;2;1930;1944;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
805;LAZ;krbul_6;6;1948;1970;bomber_design;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
806;Bulgarski Cherven Krust;krbul_7;3;1885;1991;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
807;Letishte Bozhurishte;krbul_8;3;1912;1970;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
808;Stoyan Stoyanov;krbul_9;5;1941;1970;fighter_tactics;aircraft_testing;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
809;Darzhavni Mini Pernik;krbul_10;4;1900;1991;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
810;Darzhavna Voenna Fabrika;krbul_11;5;1924;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
811;BDZ;krbul_12;4;1880;1970;mechanics;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
812;Flotski Arsenal Varna;krbul_13;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
813;Flotski Arsenal Ruse;krbul_14;2;1890;1970;naval_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
814;Yordanov Aviatsionna Korporatsiya;krbul_15;6;1896;1968;aeronautics;technical_efficiency;avionics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
815;Asen Yordanov;krbul_16;6;1896;1968;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
816;Voennomorska Akademia Varna;krbul_17;3;1930;1970;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
817;SU St. Kliment Ohridski;krbul_18;3;1900;1991;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
818;Neftohim;krbul_19;5;1945;1970;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
819;Avtomobilna Fabrika Tangra;krbul_20;5;1946;1970;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
820;John Atanasov;krbul_21;9;1965;1970;mathematics;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
