CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10300;Kaiser Shipyards;10303;8;1930;1970;naval_engineering;carrier_design;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10301;Puget Sound Naval Yard;pugetsound;7;1930;1970;submarine_design;electronics;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10302;Caltech;T10301;6;1930;1970;mathematics;mechanics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10303;Mare Island Shipyard;mareisland;7;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10304;Consolidated Vultee;Convair;9;1944;1970;rocketry;aircraft_testing;avionics;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10305;Paccar Inc;paccar;5;1930;1970;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10306;Lockheed-Northrop Aircraft;Lockheed-Northrop;6;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10307;Douglas Aircraft Company;T103;6;1930;1970;bomber_design;aeronautics;avionics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10308;Browning Arms Company;Kaiserreich Browning;5;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10309;Southern Pacific Railroad;T10308;5;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10310;Standard Oil of California;T117;8;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10311;Stanford University;T10310;5;1930;1970;electronics;mathematics;chemistry;nuclear_physics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10312;Hughes Aircraft;Kaiserreich Hughes aircraft;8;1936;1970;electronics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10313;Howard Hughes;howardhughes;4;1930;1950;piloting;aircraft_testing;aeronautics;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10314;Henry Arnold;T125;7;1930;1947;aircraft_testing;bomber_tactics;decentralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10315;Robert Carney;10306;7;1930;1955;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10316;James Doolittle;10300;6;1930;1970;centralized_execution;;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10317;Alexander Patch;10305;5;1930;1945;small_unit_tactics;individual_courage;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10318;Hanford National Laboratory;Kaiserreich Hanford;8;1943;1970;nuclear_physics;chemistry;mathematics;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10319;Marc Mitscher;mitscher;6;1930;1947;large_taskforce_tactics;seamanship;carrier_tactics;aircraft_testing;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10320;Victor Krulak;krulak;5;1940;1968;large_unit_tactics;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10321;Jimmy Thach;thach;7;1943;1970;piloting;fighter_tactics;decentralized_execution;combined_arms_focus;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10322;Arleigh Burke;burke;7;1946;1970;carrier_tactics;large_taskforce_tactics;centralized_execution;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10323;Litton Industries;littonind;8;1953;1970;electronics;mechanics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10324;Charles Lockwood;lockwood;8;1930;1950;submarine_tactics;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10325;Camp Pendleton;CampPendleton;6;1900;1970;munitions;general_equipment;marine_training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
