CAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
900;Long Branch Arsenal;longbranch;7;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901;CPR Angus Shops;angusshops;4;1970;1970;mechanics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
902;Crown Motor Works;T311;6;1930;1970;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
903;Canadair;canadair;8;1944;1970;aeronautics;avionics;aircraft_testing;fighter_design;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
904;George C. Laurence;laurence;7;1930;1943;mathematics;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
905;Martin-Baker Aircraft;martinbak;7;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
906;Canadian Vickers Ltd.;T907;8;1930;1970;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
907;University of Toronto;T916;8;1930;1970;mathematics;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
908;McGill Nuclear Laboratories;mcgill;7;1943;1970;mathematics;nuclear_physics;nuclear_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
909;Imperial Oil;Imperial Oil;6;1936;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
910;Davie Shipbuilding;Canadian Shipyard;8;1936;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
911;Nieuport Aeronautics Ltd.;nieuport;7;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
912;Royal Naval Dockyard Halifax;halifaxRND;7;1970;1970;naval_engineering;technical_efficiency;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
913;Dominion Fabricating and Steel Co;dofstel;7;1930;1970;general_equipment;industrial_engineering;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914;Northern Electric;nortel;7;1930;1970;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
916;Victory Aircraft;victory;6;1970;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
917;Canadian Car & Foundry;carfound;4;1930;1970;mechanics;aeronautics;industrial_engineering;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
918;CARDE;CARDE;7;1944;1970;artillery;rocketry;mechanics;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
919;Pratt & Whitney Canada;prattwhit;6;1930;1944;aeronautics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920;RCNNP Montreal;rcnnp;7;1970;1970;naval_engineering;nuclear_engineering;naval_training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
921;A. B. F. Fraser-Harris;fraserharris;7;1945;1970;naval_training;large_taskforce_tactics;carrier_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
922;Bob Braham;braham;6;1943;1970;fighter_tactics;aircraft_testing;bomber_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
923;William Avery Bishop;billybishop;7;1930;1945;fighter_tactics;aircraft_testing;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
924;Harry DeWolf;dewolf;5;1935;1960;naval_training;small_taskforce_tactics;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
925;Edmund Ironside;ironside;5;1970;1945;centralized_execution;large_unit_tactics;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
926;Roger Keyes;rogerkeyes;6;1970;1945;naval_training;carrier_tactics;large_taskforce_tactics;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
927;Hugh Trenchard;trenchard1;5;1970;1942;bomber_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
928;Bert Hoffmeister;berthoff;6;1942;1960;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
929;Claude Auchinleck;theauk;5;1970;1948;infantry_focus;decentralized_execution;individual_courage;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
930;Raymond Collishaw;collishaw;5;1970;1944;bomber_tactics;aircraft_testing;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
931;Georges Vanier;vanier;5;1970;1954;small_unit_tactics;infantry_focus;training;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
932;Horatio Nelson Lay;horatio;6;1945;1970;naval_training;large_taskforce_tactics;carrier_tactics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
945;Percy W. Nelles;CAN_Nelles_tech;8;1930;1970;carrier_tactics;large_taskforce_tactics;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
933;Kenneth Stuart;Kaiserreich_CAN_TT_Kenneth_Stuart;5;1970;1970;small_unit_tactics;centralized_execution;combined_arms_focus;infantry_focus;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
934;C. M. McEwen;mcewen;5;1942;1954;bomber_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
935;Wilf Curtis;wilfcurt;7;1944;1970;aeronautics;centralized_execution;piloting;decentralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
936;Royal Atlantic Aeronautics Corporation;Royal_Atlantic_TT;6;1970;1970;aeronautics;piloting;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
937;Royal Canadian Mounted Police;RCMP_logo;5;1873;1970;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
938;Canadian Medical Association;CMAlogo;8;1900;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
939;Royal Marines;RoyalMarineBadge;9;1900;1970;marine_training;small_unit_tactics;general_equipment;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
940;Lloyd Samuel Breadner;Kaiserreich_CAN_TT_Breadner;5;1970;1970;fighter_tactics;aircraft_testing;piloting;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
941;Royal Canadian Military College;Tech_RMC;4;1930;1970;centralized_execution;decentralized_execution;large_unit_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
942;J.F.C Fuller;Tech_Fuller;7;1970;1970;combined_arms_focus;blitzkrieg_tactics;maneuver_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
943;Royal Parachute Corps;Tech_royalparas;5;1930;1970;airborne_training;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
944;Edmund Ironside;ironside;5;1970;1948;blitzkrieg_tactics;maneuver_tactics;combined_arms_focus;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
946;Blackburn;Blackburn;6;1930;1970;aeronautics;rocketry;aircraft_testing;avionics;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
947;Avro Canada;AvroCA;6;1930;1970;aeronautics;aircraft_testing;avionics;fighter_design;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
948;Arthur Currie;kaiserreich_Currie_TT;6;1930;1970;centralized_execution;training;combined_arms_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
949;Archibald Montgomery-Massingberdy;kaiserreich_Montgomery-Massingberdy_TT;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
