CGX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8700;Guangzhou Aircraft Factory;T_CGX_Guangzhou_Aircraft_Factory;3;1924;1970;aeronautics;fighter_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8701;Junkers-Fokker China;kaiserreich_T2;4;1936;1970;aeronautics;fighter_design;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8702;Luo Mingyu;T_CGX_Luo_Mingyu;3;1937;1970;aeronautics;naval_engineering;mechanics;technical_efficiency;avionics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8703;Guangzhou Shipyard;T8702;3;1851;1955;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8704;Ye Zaifu;Zaifutech;4;1926;1958;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8705;Huangpu Wenchong Shipbuilding;T110;5;1955;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8706;Guangdong Arsenal;100723;4;1907;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8707;Pajiang Artillery Factory;T_CGX_Pajiang_Artillery_Factory;5;1935;1970;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8708;Yuehan Railway Workshops;T_CGX_Yuehan_Railway;4;1911;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8709;Auto Union Ostasien;T_UPE_Auto_Union;4;1936;1970;mechanics;general_equipment;training;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8710;Krupp Ostasien;T7;5;1936;1970;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8711;Carl Cranz;T_CGX_Carl_Julius_Cranz;7;1935;1941;artillery;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8712;Hip Tung Wo Engineering Works;T_CHI_Guangzhou_Engine;4;1936;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8713;Wintershall Maoming Ölraffinerie;T_GER_Wintershall;5;1936;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8714;Siemens Ostasien;kaiserreich siemens-china;5;1911;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8715;Ling Hongxun;T_CGX_Ling_Hongxun;6;1927;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8716;Otto-Wolff-Konzern;T_CGX_Otto-Wolff-Konzern;6;1904;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8717;Sigmund Moosauer;T_CGX_Sigmund_Moosauer;4;1936;1945;centralized_execution;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8718;BASF China;BASF_T;5;1885;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8719;Wen Yuqing;T_CGX_Wen_Yuqing;3;1930;1960;mathematics;mechanics;electronics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8720;National Guangdong University;100726;3;1924;1952;mathematics;mechanics;chemistry;medicine;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8721;South China Institute of Technology;T_CGX_South_China_Tech;3;1952;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8722;Guangdong University;100726;4;1952;1970;mathematics;chemistry;medicine;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
