CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8300;Dornier Ostasien;T_GER_Dornier;3;1936;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8301;Aviation Industries of China;TC_CHC_8317;4;1970;1970;aeronautics;fighter_design;bomber_design;general_equipment;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8302;Nanchang Aircraft Works;T_UPR_Nanchang_Aircraft_Works;5;1970;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8303;Harbin Aircraft Plant;T_MAN_Harbin_Aircraft;5;1948;1970;aeronautics;bomber_design;electronics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8304;Shenyang Aircraft Factory;T_MAN_Shenyang_Aircraft;5;1948;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8305;Shaanxi Aircraft Industry;T_CSX_Xian_Aircraft;6;1949;1970;aeronautics;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8357;Wang Zhu;T_EAF_Wang_Zhu;6;1936;1965;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8306;He Qingzhi;T_CHC_He_Qingzhi;5;1943;1970;aeronautics;technical_efficiency;avionics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8307;Beijing University of Aeronautics;T_CSX_Beihang_University;5;1952;1970;rocketry;aeronautics;chemistry;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8308;Qingdao Shipyard;100751;3;1900;1949;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8309;Bohai Shipbuilding Heavy Industry;T_MAN_Dalian_Shipbuilding;4;1947;1970;naval_engineering;naval_artillery;submarine_design;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8310;Dalian Shipbuilding Industry;T110;5;1947;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8311;Qingdao Shipyard;100772;5;1949;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8312;Jinan Xincheng Arsenal;T_CHI_Jiangnan_Arsenal;3;1875;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8313;General Armament Department;T_CGX_Pajiang_Artillery_Factory;4;1970;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8314;Shenyang Arsenal;100004;5;1970;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8315;Hanyang Arsenal;T1002;5;1970;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8316;Yu Daowen;T_CHC_Yu_Daowen;6;1945;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8317;Jinan Automobile Works;T_UPE_Nanjing_Automobile_Works;3;1935;1946;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
