CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8300;Deng Xiaoping;T8300;5;1930;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8301;Fang Zhimin;Fang_ZhiminT;3;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8302;Zhang Tianran;Zhang_TianranT;2;1930;1970;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8303;Aviation Industries of China;T8303;4;1939;1970;aeronautics;bomber_design;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8304;China North Industries Group;T8304;4;1936;1970;industrial_engineering;technical_efficiency;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8305;China State Shipbuilding Corporation;T8305;3;1940;1970;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8306;General Armament Department;T8306;4;1930;1970;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8307;Fang Zeyi;Fang Zeyitech;4;1936;1970;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8308;School of the Mandate;T8805;5;1930;1970;infantry_focus;centralized_execution;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8309;Shaanxi Kiln;T13507;3;1930;1970;general_equipment;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8310;Tian Chao Hai Jun;CHC8314;5;1970;1970;centralized_execution;large_taskforce_tactics;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8311;Millenarian Movement Army;thebrotherhood;5;1936;1970;large_unit_tactics;centralized_execution;combined_arms_focus;training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8312;Chengdu Aircraft Industry Corp.;T8313;5;1950;1970;rocketry;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8313;First Automobile Works;T8325;4;1970;1970;mechanics;electronics;technical_efficiency;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8314;Hoff Lu;Hofflutech;4;1960;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8315;North China Electric Power University;T8326;5;1970;1970;industrial_engineering;electronics;technical_efficiency;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8316;Tian Chao Jin Jun;T8312;4;1970;1970;large_unit_tactics;centralized_execution;combined_arms_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8317;Imperial Military Commission;T8318;6;1970;1970;centralized_execution;artillery;general_equipment;munitions;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8318;Central Military Academy;Ch_academy;6;1970;1970;infantry_focus;individual_courage;decentralized_execution;training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8319;Zhang Tianran University;Hongkongunitech;5;1970;1970;technical_efficiency;mathematics;management;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8320;The Harbin Institute of Military Engineering;T8327;5;1970;1970;mechanics;chemistry;management;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8321;Fudan University;T8310;6;1970;1970;mathematics;aeronautics;electronics;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8322;Imperial Qinghua University;T1019;7;1970;1970;mathematics;nuclear_physics;nuclear_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8323;Imperial Guangdong University;T8706;4;1970;1970;mechanics;chemistry;management;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8324;Beijing University;T8333;5;1970;1970;mechanics;management;technical_efficiency;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8325;Dalian Maritime University;T8319;6;1970;1970;small_taskforce_tactics;naval_training;seamanship;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8326;Tian Chao Kong Jun;T8316;5;1970;1970;centralized_execution;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8327;Ningbo Shipyards;kaiserreich TNingbo;6;1964;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8328;Hong Kong University;kaiserreich Thku;4;1964;1970;technical_efficiency;mathematics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8329;Shanghai University;kaiserreich Tshanghaiu;5;1964;1970;electronics;mechanics;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8330;Shanghai Arsenal;kaiserreich Tshanghaiarsenal;4;1964;1970;artillery;general_equipment;training;munitions;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
