COL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5200;IFI;T5200;3;1930;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5201;SCADTA;T5201;2;1930;1970;aeronautics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5202;FNC;T5202;3;1930;1970;general_equipment;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5203;Ferrocarriles Nacionales de Colombia;T5203;4;1954;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5210;HACEB;COLHACEB;5;1940;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5211;Pontifical Bolivarian University;COLUPB;4;1940;1955;mathematics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5212;Pontifical Bolivarian University;COLUPB;5;1955;1970;mathematics;training;management;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5204;ANDI;T5204;3;1944;1970;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5205;Gustavo Rojas Pinilla;T5205;3;1930;1970;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5206;Ramón Rincón Quiñones;T5206;2;1930;1970;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5207;Rubén Piedrahita Arango;T5207;2;1930;1970;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5208;Escuela de Aviación Militar;T5208;2;1930;1970;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5209;United Fruit Company;T5209;2;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5213;Taller Nacional de Artes Mecánicas;COL_INDUMIL;3;1930;1970;general_equipment;industrial_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5214;Auto Tecnica Colombiana S.A;COL_autotechnica;4;1941;1970;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5215;Infantería de Marina de Colombia;COL_Escudo_Infanteria_de_Marina_de_Colombia;4;1936;1970;marine_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5216;Cementos Argos S.A;T3600;4;1936;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5217;Empresa Colombiana de Petróleos S.A.;COL_petroleos;5;1936;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5218;Empresa de Teléfonos de Bogotá;COL_telefonos;3;1936;1970;electronics;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5219;Postobón, S.A.;T99036;3;1936;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
