CUB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6300;Hershey Chocolate Corp.;T99021;4;1930;1970;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6301;Arechalaba Industries;T99022;3;1930;1939;industrial_engineering;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6302;Arechalaba Industries;T99022;3;1939;1970;industrial_engineering;general_equipment;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6303;US-Cuban Allied Works Engineering Co.;T99023;2;1930;1943;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6304;US-Cuban Allied Works Engineering Co.;T99023;3;1943;1970;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6305;Agustín Parlá Ordua;T99024;2;1930;1970;piloting;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6306;Universidad de La Habana;T99025;3;1930;1970;training;medicine;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6307;La Academia Naval del Mariel;T99026;2;1930;1970;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6308;La Academia Naval del Mariel;T99026;3;1969;1970;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6309;Academia Militar de la Habana;T99027;3;1930;1970;training;infantry_focus;large_unit_tactics;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6310;Academia Militar de la Habana;T99027;4;1969;1970;training;infantry_focus;large_unit_tactics;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6311;Armamentos Cubanos Savage-Stevens;T99028;3;1969;1970;artillery;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
