CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100;Praga továrna létadel;T_CZE_Praga_E51;5;1930;1945;aeronautics;fighter_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1101;Praga továrna létadel;T_CZE_Praga_E51;6;1945;1970;aeronautics;fighter_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1102;Avia;T_CZE_Avia;5;1919;1945;aeronautics;fighter_design;bomber_design;general_equipment;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1103;Avia;T_CZE_Avia;6;1945;1970;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1104;Aero Vodochody;T_CZE_Aero;6;1919;1945;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1105;Aero Vodochody;T_CZE_Aero;6;1945;1970;aeronautics;fighter_design;bomber_design;electronics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1106;Ludvik Ocenasek;T_CZE_Ludvik_Ocenasek;3;1929;1945;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1107;Josef Walter a spol.;T_CZE_Waltrovka;6;1911;1945;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1108;Helmut von Zborowski;T_CZE_Helmut_von_Zborowski;5;1947;1970;rocketry;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1109;Walter Automobil und Flugmotoren Fabrik;T_CZE_Waltrovka2;6;1945;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110;Ceske lodenice;T_CZE_Ceske_lodenice;4;1922;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1111;Ceska Zbrojovka Strakonice;T1102;6;1919;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1112;Zbrojovka Brno;T64089;6;1918;1945;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
