DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
205;HF Vaerkstader;T205;3;1930;1970;aeronautics;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
201;Atlas A/S;T201;3;1930;1970;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
208;Vølund;T208;4;1930;1970;naval_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
219;Maersk;T_DEN_Maersk;6;1930;1970;naval_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
202;Burmeister & Wain;T202;6;1930;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
221;Orlogsværftet;T_DEN_Orlogsværftet;6;1890;1970;naval_engineering;naval_artillery;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
206;Dansk Industri Syndikat;T206;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
216;Schultz & Larsen;T_DEN_Schultz_Larsen;5;1930;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220;Compagnie Madsen A/S;T_DEN_Madsen;6;1900;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200;Absalon;T200;3;1930;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
207;Sadolin & Holmblad A/S;T207;3;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
204;F.L. Smidt;T204;6;1930;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
217;Vognfabrikken Scandia;T_DEN_VognafabrikkenScandia;6;1930;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
218;Københavns Universitet;T_DEN_KobenhavnsUniversitet;5;1930;1970;mathematics;electronics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215;Novo Nordisk;T215;6;1930;1970;chemistry;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
203;Niels Bohr;T111;8;1930;1943;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
214;Hjalmar Rechnitzer;T214;3;1930;1970;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
213;Aage Vedel;T213;4;1942;1970;large_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
212;E. V. Grandjean;T212;4;1930;1970;fighter_tactics;piloting;carrier_tactics;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
210;Vagn Benneke;T210;3;1942;1970;fighter_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
211;Karl W. Essemann;T211;3;1930;1970;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
209;Carl Hjalf;T209;4;1930;1970;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
