ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
300;Gloster Aircraft Design Bureau;T308;7;1936;1970;aeronautics;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
301;Coventry Plant Design Bureau;T314;9;1930;1970;aeronautics;fighter_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
302;Briton Bomber Design Bureau;T302;7;1930;1970;aeronautics;bomber_design;general_equipment;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
303;Dagenham Plant Design Bureau;T304;7;1930;1970;aeronautics;bomber_design;naval_artillery;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
304;Frank Whittle;T329;7;1936;1970;rocketry;aeronautics;avionics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
305;Rosyth Dockyard;T13003;6;1930;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
306;Dreadnaught Plant Design Bureau;T310;7;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
329;Harland & Wolff Heavy Industries;T307;8;1930;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
307;Triton Plant Design Bureau;T303;8;1930;1970;naval_engineering;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
308;Woolwich Arsenal;T313;6;1930;1970;artillery;mechanics;chemistry;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
309;Enfield Arsenal;T305;7;1930;1970;artillery;mechanics;electronics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
310;Birmingham Small Arms Bureau;T_ENG_Birmingham_Small_Arms;6;1930;1970;artillery;mechanics;general_equipment;munitions;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
311;United Engine - Vauxhall Plant;T315;7;1930;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
312;United Engine - Leyland Plant;T311;8;1930;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
313;Britannia Plant Design Bureau;T316;8;1930;1970;artillery;mechanics;electronics;naval_engineering;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
314;Marconi Electric Union;T_ENG_Marconi;7;1930;1970;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
315;Robert Watson-Watt;T312;7;1930;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
316;Anglo-Persian Co-operative;T301;8;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
317;General Electric Union;T306;8;1930;1970;mechanics;electronics;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
318;British Pharmaceutical Bureau;British_Pharma_Bureau;6;1891;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
319;Republican College London;T_ENG_College;5;1930;1945;mathematics;mechanics;chemistry;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
320;Republican College London;T_ENG_College;6;1945;1970;mathematics;mechanics;chemistry;training;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
322;Alan Turing;T300;9;1930;1970;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
321;James Chadwick;T309;6;1930;1970;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
327;James Chadwick;T309;8;1960;1970;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
323;Republican Corps of Naval Constructors;rcnnp;7;1930;1948;naval_engineering;mathematics;electronics;management;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
324;Republican Corps of Naval Constructors;rcnnp;7;1948;1970;naval_engineering;mathematics;electronics;nuclear_engineering;management;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325;Percy Noble;T327;5;1930;1946;aircraft_testing;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
326;Max Horton;T325;6;1936;1952;small_taskforce_tactics;centralized_execution;decentralized_execution;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
328;George Fawkes;T_ENG_GFawkes;6;1952;1970;aircraft_testing;small_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
