EUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
20000;Industria aeronáutica de Vitoria;Kaiserreich_EUS_Vitoria;3;1969;1970;aeronautics;fighter_design;munitions;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20001;CASA;T3100;5;1945;1970;aeronautics;bomber_design;mechanics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20002;Hispano Aviación;T3112;5;1969;1970;aeronautics;fighter_design;artillery;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20003;Astilleros de Cádiz SA;T_SPA_Echevarrieta_Larrinaga;4;1969;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20004;Naval de Sestao;T11003;4;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20005;Compañia Euskalduna;T11001;5;1930;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20006;SECN;T3912;5;1969;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20007;Esperanza y Unceta;T3103;5;1930;1946;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20008;Fábrica de Armas de A Coruña;T3105;4;1930;1970;artillery;mechanics;electronics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20009;Instalaza SA;T_SPA_Instalaza;5;1943;1970;artillery;mechanics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20010;CETME;T_SPA_CETME;5;1946;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20011;Fábrica de Armas de Trubia;T3104;4;1930;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20012;Félix Verdeja Bardales;T_SPA_Felix_Bardales;5;1969;1954;artillery;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20013;Escuela Técnica Superior de Ingenieros Industriales;T_SPA_Escuela_Tecnica;4;1945;1970;mechanics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20014;Electroquímica de Flix;T_SPA_Electroquimica_Flix;4;1969;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20015;Sociedad Anónima Cros;T3101;5;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20016;Ferrocarriles Españoles;T2803;5;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20017;Altos Hornos de Vizcaya;T11000;5;1930;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20018;Babcock Wilcox Española;T_SPA_Babcock_Wilcox;5;1930;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20019;Zeltia;T_SPA_Zeltia;3;1939;1970;medicine;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20020;Universidad de Deusto;Kaiserreich_EUS_University_Deusto;3;1930;1970;mathematics;chemistry;nuclear_physics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20021;Centro de Estudios Universitarios;Kaiserreich_EUS_CEU;5;1969;1970;mathematics;electronics;chemistry;nuclear_physics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20022;Narcisco Núñez de Olañeta;T_SPA_Narcisco_de_Olaneta;4;1936;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20023;Escuela Naval Militar;Kaiserreich_EUS_ENM;4;1930;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20024;Ángel Salas Larrazábal;T_EUS_Angel_Salas_Larrazabal;4;1936;1970;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20025;Academia Básica del Aire;Kaiserreich_EUS_Academia_Aire;4;1969;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20026;Academia General Militar;Kaiserreich_EUS_Academia_Militar;5;1930;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20027;Kepa Ordoki;T11006;5;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
