FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1300;Valtion Lentokonetehdas;T_FIN_Lentokonetehdas;5;1928;1946;aeronautics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1301;Valmet Oy Lentokonetehdas;T_FIN_Lentokonetehdas;5;1946;1970;aeronautics;bomber_design;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1302;Aarne Lakomaa;T_FIN_Aarne_Lakomaa;5;1944;1970;aeronautics;fighter_design;mechanics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1303;Arvo Ylinen;T_FIN_Arvo_Ylinen;6;1940;1970;aeronautics;technical_efficiency;management;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1304;Kone- ja Siltarakennus;T_FIN_Kone_Siltarakennus;4;1930;1970;naval_engineering;submarine_design;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1305;Hollming;T_Fin_Hollming;5;1943;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1306;Crichton-Vulcan;T1301;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1307;Edvard Hanell;T_FIN_Edvard_Hanell;5;1930;1946;mechanics;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1308;Väinö Vainio;T_FIN_Vaino_Vainio;5;1946;1970;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1309;Tikkakoski;T1303;5;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1310;Aimo Johannes Lahti;T_FIN_Aimo_Lahti;6;1940;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1311;Vilho Nenonen;T1307;6;1937;1947;artillery;electronics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1312;Sisu;T_FIN_SISU;4;1930;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1313;Vanajan Autotehdas;T_FIN_Vanajan_Autotehdas;4;1943;1970;artillery;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1314;Lokomo;T_FIN_Lokomo;4;1915;1970;mechanics;munitions;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1315;Tampella;T_FIN_Tampella;5;1930;1970;artillery;mechanics;general_equipment;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1316;Hugo Malmi;T_FIN_Hugo_Malmi;4;1930;1941;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1317;Oulujoki Osakeyhtiö;T_FIN_Oulujoki_Osakeyhtio;4;1941;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1318;Strömberg;T_FIN_Stromberg;4;1930;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1319;Vuoksenniska;T_FIN_Vuoksenniska;4;1930;1970;mechanics;general_equipment;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1320;Valtion Rikkihappo- ja Superfosfaattitehtaat;T_FIN_Rikkihappo;5;1920;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1321;Kymmene;T1302;5;1930;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1322;Neste Oil Oyj;T_FIN_Neste_Oil;5;1948;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1323;Artturi Virtanen;T1310;6;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1324;Reino Hallamaa;T_FIN_Reino_Hallamaa;4;1930;1960;mathematics;electronics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1325;Helsingin Yliopisto;T_FIN_HelsinginYliopisto;4;1930;1970;mathematics;electronics;chemistry;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1326;Valtion Teknillinen Tutkimuslaitos;T_FIN_VTT;4;1942;1970;mathematics;mechanics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1327;Orion Oyj;orion;7;1917;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1328;Oiva Koivisto;T_FIN_Oiva_Koivisto;4;1936;1970;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1329;Eero Rahola;T_FIN_Eero_Rahola;4;1936;1964;naval_engineering;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1330;MeriSK;T_FIN_MeriSK;4;1930;1970;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1331;Jarl Lundqvist;T_FIN_Jarl_Lundqvist;4;1930;1946;fighter_tactics;bomber_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1332;Reino Artola;T_FIN_Reino_Artola;4;1946;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1333;Richard Lorentz;T1306;5;1930;1960;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1334;Olavi Sarko;T_FIN_Olavi_Sarko;5;1930;1953;bomber_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1335;Aimo A.E. Huhtala;T_FIN_Aimo_Huhtala;5;1953;1970;bomber_tactics;centralized_execution;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1336;Eino Juutilainen;T_FIN_Eino_Juutilainen;8;1946;1970;fighter_tactics;individual_courage;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1337;Kai Savonjousi;T_FIN_Kai_Savonjousi;6;1946;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1338;Adolf Ehrnrooth;T_FIN_Adolf_Ehrnrooth;6;1952;1970;large_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1339;Ruben Lagus;T_FIN_Ruben_Lagus;7;1940;1946;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1340;K. Lennart Oesch;T1308;7;1930;1952;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1341;Haminan Kadettikoulu;Haminan Kadettikoulu;5;1918;1970;mountain_training;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1342;Lauri Törni;T_FIN_Lauri_Torni;5;1948;1970;mountain_training;airborne_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
