FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1400;Société Aéronautique Française;T1403;5;1930;1945;aeronautics;fighter_design;bomber_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1401;SNCASE;T1403;6;1945;1970;aeronautics;fighter_design;bomber_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1402;Morane-Saulnier;T1409;6;1930;1945;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1403;Morane-Saulnier;T1409;6;1945;1970;aeronautics;fighter_design;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1404;Société des Avions Marcel Bloch;T1426;7;1930;1947;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1405;Dassault Aviation;T1426;7;1947;1970;aeronautics;fighter_design;electronics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1406;Société des Ateliers d'Aviation Louis Bréguet;Breguet_KR_TT;7;1930;1945;aeronautics;bomber_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1407;Breguet Aviation;Breguet_KR_TT;7;1945;1970;aeronautics;bomber_design;mechanics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1408;Robert Esnault-Pelterie;T_FRA_Robert_Esnault-Pelterie;6;1930;1957;rocketry;aeronautics;chemistry;avionics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1409;Jean-Jacques Barré;T_FRA_Jean-Jacques_Barre;7;1942;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1410;Chantiers de la Méditerranée;T_FRA_Chantiers_Mediterranee;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1411;AC de St-Nazaire-Penhoët;T1400;7;1861;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1412;Arsenal de Brest;T1402;7;1910;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1413;Chantiers de la Méditerranée;T_FRA_Chantiers_Mediterranee;5;1969;1970;naval_engineering;naval_artillery;carrier_design;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1414;Arsenal de Cherbourg;T4804;6;1899;1948;naval_engineering;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1415;Arsenal de Cherbourg;T4804;6;1948;1970;naval_engineering;submarine_design;electronics;nuclear_engineering;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1416;Manufacture d'Armes St. Etienne;T1408;7;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1417;Manufacture d'Armes Châtellerault;T_FRA_Armes_Chatellerault;7;1930;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1418;Atelier de Construction Puteaux;T_FRA_Atelier_Puteaux;7;1930;1970;artillery;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1419;Grenoble Électrique;T1413;7;1930;1970;artillery;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1420;Panhard et Levassor;T_FRA_Panhard;6;1930;1970;artillery;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1421;FAMH;T1404;6;1930;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1422;SOMUA;T1415;7;1930;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1423;Atelier de Construction Roanne;T_FRA_Atelier_Roanne;7;1939;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1424;Usines des Billancourt;T1410;7;1930;1970;mechanics;munitions;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1465;SACM;T_FRA_Societe_Alsacienne_CM;8;1872;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1425;Saint-Gobain;T1412;5;1930;1970;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1426;Rhône-Poulenc;T1411;5;1930;1970;chemistry;general_equipment;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1427;Usines Chimique des Lille;T1407;6;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
