GEO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
21000;Tbilisi Aircraft State Association;GEO_TbilisiAircraftStateAssociation;3;1930;1970;aeronautics;avionics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21001;Tbilisi Artillery Academy;T10401;3;1930;1970;artillery;munitions;decentralized_execution;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21002;Junker Military School;GEO_JunkerSchool;3;1930;1970;centralized_execution;large_unit_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21003;Sachkhere Mountain Academy;GEO_SachkhereMountainAcademy;5;1930;1970;mountain_training;training;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21004;Sahmid Bey Mehmandarov College of Air Warfare;T9605;3;1960;1970;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21005;Azerbaijan Polytechnic Institute;T9600;3;1960;1970;chemistry;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21006;Hagop Andonian;T9502;3;1960;1970;large_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21007;Maksim Saburov;kaiserreich_Maksim_Saburov;5;1960;1970;mathematics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21008;Novorossijsk Shipyards;T88893;2;1960;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21009;Grozny Petroleum Company;Imperial Oil;6;1960;1970;industrial_engineering;chemistry;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21010;Batumi Maritime Technical University;T10402;2;1930;1970;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21011;Tbilisi State University;T11101;3;1930;1970;chemistry;management;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21012;Georgian Polytechnical Institute;GEO_GeorgianPolytechnicalInstitute;2;1930;1970;mechanics;management;industrial_engineering;general_equipment;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21013;Shota Rustaveli State University;GEO_ShotaRustaveliStateUniversity;4;1930;1970;mathematics;technical_efficiency;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21014;Akaki Tsereteli State University;GEO_AkakiTsereteliStateUniversity;3;1930;1970;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21015;Kutaisi Automotive Plant 'KAZ';GEO_KAZ;5;1930;1970;general_equipment;industrial_engineering;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21016;Binsotsbank;GEO_Binsotsbank;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21017;Chiatura Mining Complexes;GEO_Chiatura;4;1930;1970;general_equipment;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21018;Sakdrisi-Kachagiani Mining Complexes;GEO_Sakdrisi;3;1930;1970;technical_efficiency;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
