GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1;Blohm & Voss;T1;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2;Gothaer Waggonfabrik;kaiserreich_T3;6;1930;1970;bomber_design;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3;I.G. Farbenindustrie;T3;8;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;Albatros-Flugzeugwerke;Kaiserreich_T1;6;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;Konrad Zuse;T5;7;1935;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;Friedrich Krupp Germaniawerft;kaiserreich_T7;7;1930;1970;naval_engineering;technical_efficiency;naval_artillery;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;Friedrich Krupp AG;T7;9;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8;MAN;T8;7;1930;1970;mechanics;vehicle_engineering;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9;Mauser;T9;7;1930;1970;general_equipment;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;Junkers-Fokker;kaiserreich_T2;9;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11;Opel;T11;6;1930;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12;Henschel & Sohn;kaiserreich_T8;5;1930;1970;mechanics;aeronautics;rocketry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13;Rheinmetall;T13;7;1930;1970;artillery;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;Siemens;T14;7;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15;Daimler-Benz;T600;6;1937;1970;mechanics;industrial_engineering;technical_efficiency;management;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;Otto Hahn & Liese Meitner;Kaiserreich_Hahn-Meitner;6;1927;1976;nuclear_physics;chemistry;mathematics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;Wernher von Braun;T17;8;1932;1976;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;Adolf Galland;T18;5;1941;1970;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;Hans-Georg von Friedeburg;kaiserreich_T6;6;1930;1970;submarine_tactics;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;August von Mackensen;kaiserreich_T9;5;1930;1970;infantry_focus;large_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;Luftschutzamt;kaiserreich_T12;6;1930;1970;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;Heinz Guderian;T22;8;1970;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;Manfred von Richthofen;kaiserreich_T10;8;1930;1970;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;Hugo Sperrle;T24;7;1938;1970;bomber_tactics;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;Wilhelm Souchon;kaiserreich_T5;6;1930;1970;naval_training;small_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;Siemens-Schuckertwerke;kaiserreich_T4;7;1930;1970;aeronautics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;AG Vulkan;kaiserreich_T11;6;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;Generalstab;kaiserreich_T13;6;1930;1970;training;large_unit_tactics;centralized_execution;management;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;Luftschiffbau Zeppelin;Zeppelin;7;1930;1970;avionics;bomber_design;aircraft_testing;aeronautics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;Georg von Bruchmüller;Kaiserreich Tech_Bruchmüller;7;1940;1948;artillery;training;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;Erwin von Witzleben;Kaiserreich tech-Witzleben;6;1950;1970;infantry_focus;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;Alfred Saalwächter;Kaiserreich Saalwächter;6;1938;1960;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;Werner Heisenberg;T16;8;1940;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
34;Merck;merck;7;1900;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35;Gebirgsjägerschule Mittenwald;GebJg_RT_KR;8;1930;1970;artillery;small_unit_tactics;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
