GLD;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15100;Lemburg Aviation Workshop;T_POL_PWS;3;1910;1970;aeronautics;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15101;Lemburg Arsenal;T9800;3;1646;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15102;Galizische Carl Ludwig-Bahn;T_GLD_Galiz_Carl_Ludwig-Bahn;4;1858;1970;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15103;Huta Stalowa Wola;T_POL_Huta_Stalowa_Wola;4;1938;1970;artillery;mechanics;munitions;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15104;Fabryki Maszyn i Wagonów L. Zieleniewski;T_POL_Fabryki_L-Zieleniewski_Fitzner-Gamper;4;1913;1970;naval_engineering;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15105;Fabryka Lokomotyw w Chrzanowie;T_POL_Fablok;5;1919;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15106;Galizisch-Karpathische Petroleum AG;T_POL_Polmin;6;1885;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15107;Stanislaw Pilat;T_GLD_Stanislaw_Pilat;7;1918;1946;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15108;Eugeniusz Kwiatkowski;Kwiatkowski_T;7;1925;1958;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15109;Uniwersytet Jagiellonski;UJ_T;5;1346;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15110;Hugo Steinhaus;T_POL_Hugo_Steinhaus;7;1929;1970;mathematics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15111;Stefan Banach;T2701;8;1929;1946;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15112;Stanislaw Ulam;T2702;7;1943;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15113;Karol Korytowski;T_GLD_Karol_Korytowski;3;1936;1957;naval_engineering;small_taskforce_tactics;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15114;Karol Trzasko-Durski;T_POL_Karol_Trzasko-Durski;4;1969;1970;aircraft_testing;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15115;Aleksander Serednicki;T_GLD_Aleksander_Serednicki;4;1922;1951;bomber_tactics;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15116;Stefan Stec;T_GLD_Stefan_Stanislaw_Stec;4;1936;1955;fighter_tactics;piloting;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15117;Stanislaw Jasinski;T_POL_Stanislaw_Jasinski;5;1969;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15118;Ottokar Brzoza-Brzezina;T_GLD_Ottokar_Brzoza-Brzezina;5;1920;1948;small_unit_tactics;centralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15119;Marian Porwit;T_GLD_Marian_Porwit;5;1928;1961;small_unit_tactics;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15120;Roman Abraham;T_GLD_Roman_Abraham;7;1922;1956;decentralized_execution;individual_courage;combined_arms_focus;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15121;Tadeusz Kutrzeba;T2709;6;1927;1951;mountain_training;small_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
