GUA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7900;Empresa Nacional de Loma Larga;T99075;2;1930;1939;technical_efficiency;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7901;Empresa Nacional de Loma Larga;T99075;3;1939;1970;technical_efficiency;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7902;Comisión de Canal de Panamá;T99054;4;1969;1970;naval_engineering;technical_efficiency;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7903;Cia Radiografica Internacional;T99062;3;1969;1970;mechanics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7904;USACC;T99076;2;1930;1945;medicine;mechanics;training;general_equipment;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7905;USACC;T99076;3;1945;1970;medicine;mechanics;training;general_equipment;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7906;Facultad de San Jose de Medicina;T99069;2;1969;1970;medicine;chemistry;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7907;Cia Nacional de Aviacion;T99077;2;1930;1970;general_equipment;mechanics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7908;TACA;T99063;3;1930;1970;aeronautics;bomber_design;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7909;Cuartel El Zapote;T99078;2;1930;1970;training;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7910;Cuartel El Zapote;T99078;3;1969;1970;training;general_equipment;munitions;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7911;Escuela Politecnica Centroamerica;T99079;3;1930;1970;training;infantry_focus;large_unit_tactics;centralized_execution;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7912;Escuela Politecnica Centroamerica;T99079;4;1969;1970;training;infantry_focus;large_unit_tactics;centralized_execution;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7913;Humberto Aberle;T99080;2;1930;1970;fighter_tactics;centralized_execution;piloting;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7914;Academia Militar de Aviación;T99064;3;1969;1970;bomber_tactics;general_equipment;piloting;mechanics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7915;La Academia Militar Naval;T99074;2;1969;1970;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7916;La Academia Militar Naval;T99074;3;1969;1970;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
