HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1600;Ikarus;T3800;4;1930;1945;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1601;Ikarus;T3800;5;1945;1970;aeronautics;bomber_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1602;WM Müvek;T1604;5;1930;1970;aeronautics;fighter_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1603;Karman Todor;kaiserreich_karman;6;1930;1970;aeronautics;fighter_design;electronics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1604;Fonó Albert;fonoalbert_hun;6;1930;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1605;Óbuda Shipyard Rt.;kaiserreich_hajo;3;1930;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1606;Ganz-Danubius Fiumei Hajógyár;T_HUN_Fiumei_Hajogyar;5;1965;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1607;FÉG;kaiserreich_feg;5;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1608;József Kucher;T_HUN_Jozsef_Kucher;5;1942;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1609;Dubnica Machines Plant;T1103;4;1930;1970;artillery;mechanics;electronics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1610;Magyar Kir. Haditechnikai Intézet;haditechnika_hun;5;1930;1970;artillery;mechanics;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1611;Magyar-Jugoszláv Államvasutak;T3805;5;1965;1970;mechanics;electronics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1612;Videoton;videoton_hun;5;1938;1970;mathematics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1613;Budapesti Vegyimuvek;T1600;5;1930;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1614;ICN;T1603;5;1927;1970;chemistry;medicine;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1615;MOLAJ Rt.;T1606;6;1941;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1616;Budapesti Muszaki Egyetem;kaiserreich_bme;6;1930;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1617;Rába;kaiserreich_raba;6;1930;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1618;Ganz-Mávag Rt.;T1602;6;1930;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1619;Manfred Weiss;T1604;7;1930;1970;mechanics;munitions;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1620;Politechnika Lwowska;lwow_T;4;1965;1970;mechanics;electronics;chemistry;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1621;Pázmány Péter University;elte_hun;5;1930;1970;mathematics;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1622;Zoltán Bay;T1614;6;1930;1970;mathematics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1623;János Neumann;kaiserreich_neumann;8;1930;1970;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1624;Nemzeti Magfizikai Intézet;kaiserreich_teller;8;1930;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1625;Kálmán Hardy;T_HUN_Hardy_Kalman;3;1930;1957;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1626;Miklós Horthy de Nagybánya;kaiserreich_horthy;4;1930;1945;large_taskforce_tactics;centralized_execution;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1627;Magyar Kir. Tengerészeti Akadémia Fiumei;T_HUN_Nautische_Akademie;4;1965;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1628;András Littay;T1609;4;1930;1948;bomber_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1629;Magyar Kir. Honvéd Légiero Vezérkar;kaiserreich_legiero;4;1930;1970;fighter_tactics;bomber_tactics;decentralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1630;István Fejes;T_HUN_Fejes_Istvan;5;1930;1946;fighter_tactics;centralized_execution;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1631;Dezso Szentgyörgyi;T_HUN_Szentgyorgyi_Dezso;5;1946;1970;fighter_tactics;centralized_execution;piloting;combined_arms_focus;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1632;János Vörös;T1611;5;1944;1970;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1633;Ferenc Szombathelyi;T1607;5;1930;1960;small_unit_tactics;centralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1634;Gusztáv Jány;kaiserreich_jany;6;1930;1948;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1635;Lajos Veress de Dálnok;T_HUN_Lajos_Veress;6;1930;1960;centralized_execution;decentralized_execution;individual_courage;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1636;Magyar Kir. Ludovika Akadémia;T_HUN_Ludoviceum;5;1930;1970;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1637;Árpád Bertalan;kais_bertalan_arpad;7;1930;1963;airborne_training;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
