ICL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
22000;Maritime Studies Faculty Rijeka;T11300;2;1945;1970;naval_training;seamanship;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22001;Háskóli Íslands;T11301;3;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22002;Reykjavik Military School;T10401;2;1930;1970;centralized_execution;large_unit_tactics;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22003;Reykjavik Arsenal;T2504;3;1930;1970;artillery;mechanics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22004;Íslenska Navy dockyards;T3204;4;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22005;Her Flugvél Factory;T2501;3;1930;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22006;Reykjavik iðnaðar sameina;T1414;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22007;Kai Hammerich;T22007;4;1930;1970;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22008;August Arendrup;T22008;3;1930;1970;submarine_tactics;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22009;Asger E.V. Grandjean;T22009;3;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
