IND;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
23000;Rajputana Avionics Centre;T12510;5;1970;1970;aeronautics;fighter_design;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23001;Hindustan Aircraft Limited;T304;5;1930;1945;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23002;Hindustan Aircraft Limited;T304;6;1945;1970;aeronautics;fighter_design;bomber_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23003;Karachi Shipyard & Engineering Works;T12500;4;1970;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23004;Mazagon Dock Limited;T11408;4;1930;1970;naval_engineering;naval_artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23005;Garden Reach Workshop;Garden Reach WorkshopT;5;1970;1970;naval_engineering;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23006;Hindustan Shipyard Limited;T_IND_Hindustan_Shipyard;5;1941;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23007;Cannanore Fort;Cannoreforttech;3;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23008;Red Fort Arsenal;Redforttech;5;1970;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23009;Ishapore Rifle Factory;Ishaporetech;4;1970;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23010;Military Engineering Services;T11409;4;1930;1970;mechanics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23011;Defence Research & Development Organisation;T11401;5;1970;1970;artillery;electronics;munitions;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23012;Gun Carriage Factory Jabalpur;Jabalpurtech;5;1970;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23013;Heavy Vehicles Factory;T_IND_HeavyVehicleFactory;6;1945;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23014;Hyderabad-Deccan Railroad;T11406;5;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23015;Indian Railways;T11406;5;1970;1970;mechanics;general_equipment;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23016;Singareni Collieries Company Ltd.;Singarenitech;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23017;Mokshagundam Visveswaraiah;Moktech;5;1930;1962;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23018;Bharat Electronics Limited;T11400;6;1946;1970;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23019;TATA Steel;TATAtech;8;1970;1970;aeronautics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23020;Osmania Medical College;Osmaniamedicaltech;4;1891;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23021;Indian Academy of Sciences;T11404;5;1930;1970;mathematics;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23022;Osmania University;Osmaniatech;5;1930;1970;mathematics;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23023;Venkata Raman;T11415;6;1930;1970;mathematics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23024;Satyendra Nath Bose;Nathtech;8;1970;1970;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23025;Muhammad Raziuddin Siddiqui;Raztech;5;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23026;Homi J. Bhabha;Bhabhatech;7;1970;1970;nuclear_physics;nuclear_engineering;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23027;Adhar Kumar Chatterjee;Chatterjeetech;4;1930;1970;naval_engineering;centralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23028;Ram Dass Katari;Kataritech;5;1930;1970;large_taskforce_tactics;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23029;Haji Mohammad Siddiq Choudri;T_PAK_Choudri;5;1942;1970;naval_artillery;small_taskforce_tactics;centralized_execution;decentralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23030;D. N. Mukerji;Mukerjitech;5;1930;1970;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23031;National Defence Academy;Natdeftech;5;1970;1970;aeronautics;centralized_execution;combined_arms_focus;naval_training;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23032;H.K Patel;Pateltech;4;1930;1970;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23033;Ashgar Khan;T12512;5;1946;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23034;Aspy Merwan Engineer;T11420;5;1930;1964;bomber_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23035;Hardutt Singh Malikr;Hardutttech;6;1960;1970;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23036;Gopal Gurunath Bewoor;Gopaltech;5;1946;1970;combined_arms_focus;maneuver_tactics;aeronautics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23037;Muhammad Ahmad Said Khan Chhatari;Chhataritech;5;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23038;K.M. Cariappa;T23022;5;1940;1965;large_unit_tactics;centralized_execution;large_unit_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23039;Kodandera Thimayya;T975006;7;1938;1970;small_unit_tactics;centralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23040;Quetta Cadet College;Quettatech;4;1970;1970;mountain_training;small_unit_tactics;decentralized_execution;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
