INO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
24000;Staatsspoorwegen;TINOSPW;3;1930;1945;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24001;Artillerie Constructie Winkel;TINOARTCW;4;1930;1950;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24002;MARINA;TINOMARINA;3;1939;1945;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24003;NIVB;TINONIVB;3;1940;1946;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24004;STOVIA;TINOSTOVIA;3;1930;1950;management;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24005;KNIL;TINOKNIL;2;1930;1945;centralized_execution;decentralized_execution;small_unit_tactics;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24006;KNIM;TINOKNIM;2;1930;1945;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24007;Djawatan Kereta Api;TINODjawatan;4;1945;1958;mechanics;industrial_engineering;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24008;PSM;TINOPSM;6;1950;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24009;PAL;TINOPAL;4;1945;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24010;IPTN;TINOIPTN;3;1946;1970;aeronautics;fighter_design;avionics;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24011;Universitas Indonesia;TINOUI;5;1950;1970;management;industrial_engineering;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24012;TNI Angkatan Darat;TINOAD;4;1945;1970;decentralized_execution;combined_arms_focus;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24013;TNI Angkatan Laut;TINOAL;4;1945;1970;large_taskforce_tactics;naval_training;decentralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24014;TNI Angkatan Udara;TINOAU;3;1946;1970;piloting;fighter_tactics;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24015;PTKA Indonesia;TINOPTKAI;5;1958;1970;mechanics;industrial_engineering;management;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24016;Technische Hogeschool;TINOHOG;2;1930;1950;mechanics;technical_efficiency;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24017;Institut Teknologi Bandung;TINOITB;6;1950;1970;mechanics;technical_efficiency;mathematics;industrial_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24018;Universitas Gadjah Mada;TINOUGM;5;1949;1970;industrial_engineering;management;medicine;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24019;IT Sepuluh November;TINOITSS;3;1957;1970;naval_engineering;electronics;technical_efficiency;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24020;Raden Sudirman;TINOSudirman;7;1944;1950;centralized_execution;small_unit_tactics;infantry_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24021;Abdul H. Nasution;TINONasution;4;1950;1970;centralized_execution;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24022;Sukarno;TINOSukarno;5;1943;1970;management;industrial_engineering;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24023;Suryadi Suryadarma;TINOSuryadi;2;1946;1970;centralized_execution;piloting;aircraft_testing;fighter_tactics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24024;Muhammad Nazir;TINONazir;3;1943;1970;centralized_execution;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24025;LAPAN;TINOLAPAN;3;1962;1970;rocketry;aeronautics;aircraft_testing;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24026;PLN;TINOPLN;4;1945;1970;electronics;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24027;Kopassus;TINOKOPASSUS;6;1952;1970;individual_courage;training;marine_training;airborne_training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
