JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1900;Kawanishi Aircraft;TJAPKawanishi;5;1930;1970;aeronautics;fighter_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1901;Showa Aircraft;TJAPShowa;5;1938;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1902;Aichi Aircraft;T1900;6;1930;1970;aeronautics;bomber_design;mechanics;naval_artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1903;Kawasaki Aircraft;T_JAP_Kawasaki_Aircraft;6;1930;1970;aeronautics;fighter_design;bomber_design;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1904;Mitsubishi Aircraft;TJAPMitsuAir;6;1930;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1905;Kyushu Aircraft;TJAPKyushu;6;1943;1970;aeronautics;fighter_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1906;Nippon Aircraft Manufacturing;TJAPNAMC;6;1970;1970;aeronautics;bomber_design;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1907;2nd Munitions Arsenal;TJAPKawanishi;6;1970;1970;aeronautics;fighter_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1908;Tachikawa Aircraft Factory;TJAPTachikawa;7;1970;1970;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1909;Yokosuka Naval Air Arsenal;TJAPYokosukaAir;7;1970;1970;aeronautics;fighter_design;bomber_design;rocketry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1910;Nakajima Aircraft;TJAPNakajima;8;1930;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
