KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13500;Busan Aircraft Factory;TJAPNakajima;2;1930;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13501;Pyeongyang Aircraft Factory;TJAPShowa;3;1930;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13502;Manseok-dong Factories;TKORIncheon;3;1930;1970;naval_engineering;submarine_design;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13503;Yeongdo Shipyard;TKORBusan;4;1930;1945;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13504;Hanjin;TKORBusan;4;1945;1970;naval_engineering;naval_artillery;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13505;Daesun Ironworks;T_KOR_Daesun_Ironworks;4;1945;1970;naval_engineering;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13506;Bupyeong Arsenal;TKORJinsen;3;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13507;Pyeongyang Arsenal;TJAPKokura;3;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13508;Korea Explosives Co.;T_KOR_Hanhwa;3;1946;1970;mechanics;general_equipment;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13509;Science and Technology Laboratory;T9800;4;1945;1970;artillery;mechanics;general_equipment;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13510;Bupyeong Truck Factory;TJAPTokyo;2;1930;1946;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13511;Bupyeong Truck Factory;TJAPTokyo;3;1946;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13521;Gyeongbu Railways;TKORAkatsuki;3;1930;1945;mechanics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13522;Korean National Railroad;TKORAkatsuki;4;1945;1970;mechanics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
