LIT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2100;ANBO;T2100;4;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2101;CCI;T2101;4;1930;1970;industrial_engineering;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2102;Povilas Plechavicius;T2102;3;1930;1944;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2103;Antanas Gustaitis;T2103;4;1930;1941;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2104;Lithuanian Railways;T2104;3;1930;1960;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2105;University of Vilnius;T2105;3;1930;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2106;Lithuania Military Academy;T2106;2;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2107;Gediminas' Engineering Institute;T3;4;1944;1970;mathematics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2108;SpeTra Automotive Industries;T11;3;1942;1970;mechanics;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2109;ANBO '44;T2100;5;1965;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2110;CCI '44;T2101;5;1965;1970;industrial_engineering;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2111;Lithuanian Railways '44;T2104;4;1965;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2112;University of Vilnius '44;T2105;5;1965;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
