MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6400;Northeast Aircraft Factory;T1908;4;1931;1948;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6451;Nanchang Aircraft Works;T_UIR_Nanchang_Aircraft_Works;5;1935;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6401;Manchuria Airplane Manufacturing Co.;TJAPManshu;5;1936;1940;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6402;Manchuria Airplane Manufacturing Co.;TJAPManshu;5;1940;1948;aeronautics;fighter_design;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6403;Harbin Aircraft Plant;T_MAN_Harbin_Aircraft;5;1948;1970;aeronautics;bomber_design;electronics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6404;Shenyang Aircraft Co.;T_MAN_Shenyang_Aircraft;5;1948;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6452;Shaanxi Aircraft Corporation;T_CSX_Xian_Aircraft;6;1949;1970;aeronautics;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6453;Wang Zhu;T_EAF_Wang_Zhu;6;1936;1965;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6454;Qian Xuesen;Tsien Hsue-shen;6;1940;1970;rocketry;aeronautics;avionics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6405;Lushun Shipyard;T_MAN_Lushun_Shipyard;3;1890;1947;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6406;Dalian Shipyard;T110;3;1902;1947;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6407;Bohai Shipbuilding Heavy Industry;T_MAN_Dalian_Shipbuilding;4;1947;1970;naval_engineering;naval_artillery;submarine_design;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6408;Dalian Shipbuilding Company;T110;5;1947;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6455;Hudong-Zhonghua Shipbuilding;T_EAF_Hudong-Zhonghua_Shipbuilding;6;1949;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6409;Shenyang Arsenal;100004;5;1928;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6456;Taiyuan Arsenal;T8801;5;1912;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6457;Hanyang Arsenal;T1002;5;1891;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6410;Fengtian Ordnance Department;T1003;6;1921;1970;artillery;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6411;Minsheng Automobile Company;T_MAN_Dowa_Automobile;4;1929;1942;mechanics;general_equipment;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6412;Shahekou-Dalian Machine Works;NCHrailwaysT;4;1905;1945;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6413;Harbin Machinery Building Factory;T_MAN_674_Factory;4;1948;1970;artillery;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6458;Beijing North Vehicle Group;Peiyang Heavy Industry;5;1946;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6414;Manchuria Auto Manufacturing;T_MAN_Manchuria_Auto;5;1942;1970;mechanics;general_equipment;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6415;Dalian Locomotive Works;NCHrailwaysT;5;1945;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6459;Yulong Automobile Co.;T_CHI_Yulon_Motor;5;1948;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
