MEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2200;Fábrica de Aviones Azcárate;T_MEX_Aviones_Azcarate;3;1928;1947;aeronautics;fighter_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2201;TNCA;T99014;3;1930;1941;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2202;Talleres Generales de Aeronáutica;T99014;4;1941;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2203;Juan Guillermo Villasana;MEX_JG;4;1928;1947;aeronautics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2204;Fábrica de Aviones Azcárate;T_MEX_Aviones_Azcarate;4;1947;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2205;ASTIMAR;T99018;2;1930;1947;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2206;ASTIMAR;T99018;3;1947;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2207;Fábrica Nacional de Armas;100572;3;1910;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2208;Productos Mendoza;T99013;4;1911;1970;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2209;Ford México;Ford2;3;1925;1951;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2210;Diesel Nacional;Kaiserreich_MEX_DINA;4;1951;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2211;Grupo Industrial Ramírez;T99017;5;1962;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2212;TELMEX;MEX_Telmex;4;1970;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2213;Comisión Federal de Electricidad;T_MEX_CFE;4;1937;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2214;Companía Minera de Cananea;T99016;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2215;Mexican Petroleum Company;T_MEX_Pan_American_Petroleum;4;1916;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2216;Compañía Mexicana de Petróleo El Águila;T_MEX_Mexican_Eagle_Petroleum;4;1908;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2217;Altos Hornos de Mexico;MEX_Alto;4;1942;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2218;Cementos Mexicanos;MEX_Cemex;5;1931;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2219;Cananea Consolidated Copper;T99016;5;1970;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
