NOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2500;Kjeller Flyfabrikk;T2501;4;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2501;Haerens Flyvemaskinfabrik;T_NOR_HaerensFly;4;1915;1970;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2502;Horten Naval Yard;T2500;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2503;Kongsberg Vaabenfabrik;T2502;4;1930;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2504;Raufoss Ammunisjonsfabrikk;T2504;5;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2505;Thunes Mekaniske Værksted;T_NOR_Thune;4;1930;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2506;Odd Hassel;T2508;5;1930;1970;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2507;Kvaerner;T2503;6;1930;1970;naval_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2508;Norsk Hydro;T_NOR_Norsk_Hydro;6;1905;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2509;Atle Selberg;T_NOR_Selberg;6;1943;1950;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2510;Carsten Tank-Nielsen;T_NOR_Carsten_Nielsen;3;1930;1970;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2511;Henry Diesen;T_NOR_Henry_Diesen;4;1930;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2512;Kristian K. Laake;T2506;3;1930;1970;bomber_tactics;centralized_execution;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2513;Johan Koren Christie;T_NOR_Johan_Christie;4;1940;1970;fighter_tactics;piloting;aeronautics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2514;Harald Normann;T_NOR_Harald_Normann;4;1930;1960;centralized_execution;combined_arms_focus;piloting;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2515;Carl Gustav Fleischer;T2505;4;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
