PAK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12501;Rajputana Avionics Centre;T12510;3;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12502;Indian Air Force;Indianairtech;3;1930;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12503;Indian Air Force;Indianairtech;4;1970;1970;aeronautics;fighter_design;general_equipment;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12504;Rajputana Avionics Centre;T12510;4;1970;1970;aeronautics;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12505;Hindustan Aircraft Limited;T_IND_HAL1;4;1930;1945;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12506;Hindustan Aircraft Limited;T_IND_HAL2;5;1945;1970;aeronautics;fighter_design;bomber_design;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12507;Karachi Shipyard & Engineering Works;T12500;3;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12508;Scindia Navigation Company Ltd;Scindiatech;4;1930;1941;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12509;Mazagon Dock Limited;T11408;4;1969;1970;naval_engineering;naval_artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12510;Royal Navy Dockyard;T12504;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12511;Hindustan Shipyard Limited;T_IND_Hindustan_Shipyard;5;1941;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12512;Karachi Shipyard & Engineering Works;T12500;4;1969;1970;naval_engineering;naval_artillery;carrier_design;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12513;Royal Navy Dockyard;T12504;5;1960;1970;naval_engineering;naval_artillery;general_equipment;technical_efficiency;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12514;Red Fort Arsenal;Redforttech;4;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12515;Ishapore Rifle Factory;Ishaporetech;4;1970;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12557;Ordnance Factory Kanpur;T_PAK_Ordnance_Kanpur;4;1942;1970;artillery;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12516;Military Engineering Services;T11409;4;1970;1970;mechanics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12517;Defence Research & Development Organisation;T11401;4;1970;1970;artillery;electronics;munitions;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12518;Gun Carriage Factory Jabalpur;Jabalpurtech;4;1930;1970;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12519;Vickers-Armstrongs India;T12501;4;1930;1945;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12520;Heavy Vehicles Factory;T_IND_HeavyVehicleFactory;5;1945;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12521;North Indian Railways;T12503;4;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12522;Tata Motors Limited;T_IND_Tata_Motors;4;1945;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12523;Indian Railways;T11406;4;1970;1970;mechanics;electronics;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12524;Mokshagundam Visveswaraiah;Moktech;4;1930;1962;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12525;Sir Shanti Swaroop Bhatnagar;T12509;6;1930;1955;electronics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12526;TATA Steel;TATAtech;7;1930;1970;aeronautics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12527;B.J. Medical College;BJtech;4;1891;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12528;University of Delhi;T11412;4;1930;1941;mathematics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12529;University of Delhi;T11412;4;1941;1970;mathematics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12530;University of the Punjab;T12506;4;1882;1970;mathematics;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12531;Indian Academy of Sciences;T11404;5;1970;1970;mathematics;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12532;Venkata Raman;T11415;6;1970;1970;mathematics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12533;Homi J. Bhabha;Bhabhatech;5;1930;1970;nuclear_physics;nuclear_engineering;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12534;Satyendra Nath Bose;Nathtech;6;1970;1970;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12536;Haji Mohammad Siddiq Choudri;T_PAK_Choudri;4;1942;1970;naval_artillery;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12537;Humphrey Thomas Walwyn;Walwyntech;4;1930;1942;naval_artillery;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12556;John Henry Godfrey;T_PAK_John_Henry_Godfrey;5;1930;1946;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12535;Sourendra Nath Kohli;T_PAK_Sourendra_Nath_Kohli;5;1949;1970;naval_engineering;electronics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12538;Sardarilal Mathradas Nanda;T_PAK_Sardarilal_Nanda;5;1946;1970;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12539;National Defence Academy;Natdeftech;5;1970;1970;aeronautics;centralized_execution;combined_arms_focus;naval_training;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12541;Indra Lal Roy;Indratech;5;1930;1948;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12542;Aspy Merwan Engineer;T_PAK_Aspy_Merwan_Engineer;5;1946;1970;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12558;Narenda Singh;T_PAK_Narenda_Singh;5;1947;1970;fighter_tactics;bomber_tactics;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12543;Hardutt Singh Malik;Hardutttech;6;1930;1947;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
