PER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6100;German-Persian Oil;T6100;5;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6101;Douglas Aircraft Company;T103;5;1970;1970;bomber_design;aeronautics;avionics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6102;Jahanbin Constructing;T6102;3;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6103;Sarcheshmeh Copper Mines;T6103;3;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6104;Siemens Iran;T14;5;1937;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6105;State Aircraft Company;T6105;3;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6106;Trans-Iranian Railway Co.;T6106;4;1930;1970;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6107;Gholam Reza Pahlavi;T6107;2;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6108;Reza Pahlavi;T6108;5;1960;1970;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6109;Teheran University;T6109;4;1930;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6110;Shahbaz Aircraft Factory;Tech_Shahbaz;3;1930;1970;aeronautics;aircraft_testing;avionics;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6111;Ahmad Khan Nakhjavan;Nakhjavantech;4;1930;1970;fighter_tactics;bomber_tactics;centralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6112;Moussa Nazm Al Saltaneh;Moussatech;4;1930;1970;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6113;Mauser Persien;Persianmausertech;6;1930;1970;training;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6114;Persian Cossack Brigade;Persiancossacktech;3;1930;1970;training;maneuver_tactics;cavalry_tactics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6115;Mohammad Taqi-Khan Pessian;PessianTech;5;1970;1970;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6116;Ministry of Energy;Imperial Oil;4;1964;1970;chemistry;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
