POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;Lubelska Wytwórnia Samolotów;T_POL_LWS;4;1920;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;DWL - RWD;T_POL_DWL_RWD;5;1925;1970;aeronautics;fighter_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;Podlaska Wytwórnia Samolotów;T_POL_PWS;5;1923;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;PZL - Swidnik;T_POL_PZL_Swidnik;5;1951;1970;aeronautics;electronics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;PZL Wytwórnia Platowców Mielec;T_POL_PZL;5;1938;1970;aeronautics;fighter_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;PZL Wytwórnia Platowców Okecie;T2707;6;1928;1970;aeronautics;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;Wladyslaw Józef Marian Turowicz;T_POL_WJM_Turowicz;3;1937;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;Jan Oderfeld;T_POL_Jan_Oderfeld;5;1945;1970;rocketry;aeronautics;mathematics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;Stocznia Gdynia;T_POL_Stocznia_Gdynia;3;1920;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;Stocznia Gdanska;T_POL_Stocznia_Gdanska;4;1945;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2710;Stanislaw Rymszewicz;T_POL_Stanislaw_Rymszewicz;4;1930;1970;naval_engineering;electronics;management;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;Tadeusz Kossakowski;T_POL_Tadeusz_Kossakowski;5;1930;1946;small_unit_tactics;maneuver_tactics;general_equipment;training;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;Panstwowa Fabryka Amunicji;T2704;4;1924;1970;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;Panstwowe Wytwórnie Uzbrojenia;T2703;5;1922;1970;artillery;electronics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2714;Starachowickie Zaklady Mechaniczne;T_POL_Starachowice_Works;6;1897;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2715;Józef Maroszek;T_POL_Jozef_Maroszek;6;1935;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2716;Huta Stalowa Wola;T_POL_Huta_Stalowa_Wola;4;1938;1970;artillery;mechanics;munitions;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2717;H. Cegielski - Poznan S.A.;T_POL_HCegielski;4;1846;1970;artillery;mechanics;electronics;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2718;Fabryka Lokomotyw w Chrzanowie;T_POL_Fablok;5;1919;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2719;Lilpop, Rau i Loewenstein;T_POL_Lilpop_Loewenstein;5;1855;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2720;Rudolf Gundlach;T_POL_Rudolf_Gundlach;6;1931;1957;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2721;Panstwowe Zaklady Inzynierii;T2706;6;1928;1970;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2722;Zaklady Mechaniczne Ursus;T_POL_Mechaniczne_Ursus;6;1945;1970;mechanics;electronics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2723;Polskie Zaklady Siemens;T14;4;1931;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2724;Fabryki Maszyn i Wagonów L. Zieleniewski;T_POL_Fabryki_L-Zieleniewski_Fitzner-Gamper;4;1913;1970;naval_engineering;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2725;Sila i Swiatlo;T_POL_Swiatlo;5;1931;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2726;Wytwórnia Radiotechniczna AVA;T_POL_AVA_Radio_Company;5;1929;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2727;Janusz Groszkowski;T_POL_Groszkowski;5;1929;1970;mechanics;electronics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2728;Huta Pokój;T_POL_Huta_Pokoj;6;1840;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2729;Polmin;T_POL_Polmin;6;1885;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2730;Eugeniusz Kwiatkowski;Kwiatkowski_T;7;1925;1958;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2731;Gwido Langer;T_POL_Gwido_Karol_Langer;5;1931;1944;mathematics;mechanics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2732;Antoni Palluth;T_POL_Antoni_Palluth;6;1944;1970;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2733;Uniwersytet Warszawski;T_POL_Uniwersytet_Warszawski;6;1816;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2763;Alfred Tajtelbaum;T_POL_Alfred_Tarski;8;1945;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2734;Stanislaw Ulam;T2702;7;1943;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2735;Stefan Frankowski;T_POL_Stefan_Frankowski;3;1928;1952;naval_artillery;small_taskforce_tactics;centralized_execution;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2736;Witold Zajaczkowski;T_POL_Witold_Zajaczkowski;3;1927;1957;naval_engineering;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2737;Szkola Podchorazych Marynarki Wojennej;T_POL_Szkola_Marynarki_Wojennej;3;1928;1970;naval_engineering;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2738;Eugeniusz Plawski;T_POL_Eugeniusz_Plawski;3;1936;1950;naval_artillery;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2739;Karol Trzasko-Durski;T_POL_Karol_Trzasko-Durski;4;1936;1959;aircraft_testing;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
