POR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2800;Oficinas Gerais de Material Aeronáutico;T_POR_OGM_Aeronautico;3;1933;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2801;Força Aérea Portuguesa;T_POR_Forca_Aerea_Portuguesa;4;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2802;Arsenal da Marinha;T_POR_Arsenal_da_Marinha;3;1930;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2803;Arsenal do Alfeite;T_POR_Arsenal_do_Alfeite;4;1938;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2804;Fábrica Militar de Santa Clara;T_POR_Fabrica_Santa_Clara;3;1930;1947;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2805;Fábrica Nacional de Munições de Armas Ligeira;T_POR_Fabrica_Santa_Clara;3;1947;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2806;Fábrica de Munições de Artilharia, Armamento e Viaturas;T_POR_Fabrica_Bracode_Prata;3;1930;1948;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2807;Fábrica Militar de Braco de Prata;T_POR_Fabrica_Bracode_Prata;4;1948;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2808;Sorefame;T_POR_Sorefame;3;1943;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2809;Associacao Industrial Portuguesa;T_POR_AIP;3;1933;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2810;Caminhos de Ferro Portugueses;T2803;4;1930;1970;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2811;Companhia União Fabril;T_POR_CUF;4;1930;1970;naval_engineering;chemistry;general_equipment;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2812;Universidade de Coimbra;T_POR_Universidade_de_Coimbra;3;1930;1970;mathematics;chemistry;nuclear_physics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2813;Universidade Técnica de Lisboa;T_POR_Universidade_de_Tecnica;3;1930;1970;mathematics;electronics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2814;António Esparteiro;T_POR_Antonio_Esparteiro;3;1950;1970;naval_artillery;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2815;Américo Tomás;T_POR_Americo_Tomas;4;1930;1958;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2816;Manuel Meireles;T_POR_Manuel_Meireles;4;1930;1945;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2817;Joaquim Teixeira;T_POR_Joaquim_Teixeira;4;1945;1970;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2818;Manuel de Bettencourt;T_POR_Manuel_de_Bettencourt;3;1930;1955;bomber_tactics;decentralized_execution;piloting;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2819;Manuel Gouveia;T_POR_Manuel_Gouveia;3;1930;1955;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2820;Humberto Delgado;T_POR_Humberto_Delgado;3;1955;1970;fighter_tactics;bomber_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2821;Tasso de Miranda Cabral;T_POR_Tasso_Cabral;3;1930;1945;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2822;José de Barros Rodrigues;T_POR_Jose_de_Barros_Rodrigues;3;1930;1952;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2823;Luís da Câmara Pina;T_POR_Luis_da_Camara_Pina;3;1946;1970;small_unit_tactics;centralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2824;Frederico da Costa Lopes da Silva;T_POR_Costa_Lopes_da_Silva;4;1952;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2825;Kaúlza de Arriaga;T_POR_Kaulza_de_Arriaga;4;1943;1970;airborne_training;small_unit_tactics;decentralized_execution;combined_arms_focus;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
