PRK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12600;Ministry of Air Transport;nieuport;4;1930;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12601;Rajputana Avionics Centre;T12510;4;1969;1970;aeronautics;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12602;Hindustan Aircraft Bureau;T_IND_HAL2;5;1969;1970;aeronautics;fighter_design;bomber_design;electronics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12603;Gadicherla V.R. Rao;T_PRK_Gadicherla_VR_Rao;4;1948;1970;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12604;Dockyard and Engineering Works;Irrawaddytech;3;1930;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12605;Karachi Shipyard & Engineering Works;T12500;3;1969;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12606;Howrah Iron Works;T10300;4;1930;1970;naval_engineering;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12607;Asiatic Steam Navigation Company;Asiatech;4;1930;1970;naval_engineering;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12608;Mazagon Dock Shipbuilders;T11408;4;1969;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12609;Garden Reach Workshop;Garden Reach WorkshopT;4;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12610;Cossipore Gun & Shell Factory;T_PRK_Cossipore;3;1930;1970;artillery;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12611;Ishapore Rifle Factory;Ishaporetech;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12645;Ordnance Factory Kanpur;T_PAK_Ordnance_Kanpur;4;1942;1970;artillery;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12612;Uttarpara Motor Factory;T_PRK_Hindustan_Motors;3;1940;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12613;Jamalpur Railway Workshops;Jamalpurtech;4;1930;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12614;Gun Carriage Factory Jabalpur;Jabalpurtech;4;1969;1970;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12615;Heavy Vehicles Factory;T_IND_HeavyVehicleFactory;5;1945;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12616;Yule Electrical & Industrial Engineering;T_PRK_Andrew_Yule_Co;4;1930;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12617;Ministry of Electronics Industry;T11400;5;1944;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12618;Ministry of Metal & Machine Building Factories;T10504;5;1930;1970;mechanics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12619;Ministry of Chemical Industry;T10510;5;1930;1970;chemistry;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12620;Assam Bengal Railway;Assambengaltech;5;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12621;Burmah Oil Co-operative;T_PRK_Burmah_Oil;5;1969;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12622;Mokshagundam Visveswaraiah;Moktech;4;1930;1962;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12623;Bhartiya Iron & Steel;T_PRK_Burnpur_Steel;6;1930;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12624;BBJ Construction & Engineering;T_PRK_BBJ_Construction;6;1930;1970;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12625;Ministry of Power & Coal Industries;T6902;6;1930;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12626;Bengal Chemical & Pharmaceutical Works;T_PRK_BCPW;3;1892;1970;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12627;University of the Punjab;T12506;4;1969;1970;mathematics;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12628;University of Calcutta;calcuttaunitech;4;1930;1970;mathematics;electronics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12629;Indian Academy of Sciences;T11404;5;1969;1970;mathematics;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12630;Satyendra Nath Bose;Nathtech;6;1930;1970;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12631;Meghnad Saha;Meghnatech;4;1930;1956;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12632;Homi J. Bhabha;Bhabhatech;5;1969;1970;nuclear_physics;nuclear_engineering;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12633;Kolkata Naval College;KRTeamCalc;4;1930;1970;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12646;Bhaskar Soman;T_PRK_Bhaskar_Sadashiv_Soman;5;1944;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12634;French Military Mission;T_PRK_French_MM;4;1969;1970;small_taskforce_tactics;decentralized_execution;submarine_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12635;British Military Mission;T_PRK_British_MM;4;1969;1970;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;small_unit_tactics;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12636;Anushilan Samiti Air Command;KRTeamAnushilan;3;1930;1944;fighter_tactics;piloting;aeronautics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12637;Erroll Chunder Sen;T_PRK_Erroll_Chunder_Sen;3;1936;1949;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12638;Eric Gordon Hall;T_PRK_Eric_Gordon_Hall;5;1949;1970;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12639;Syed Naseem Haider;Haidertech;5;1944;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12647;Subroto Mukerjee;T_PRK_Subroto_Mukerjee;6;1941;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12640;National Defence Academy;Natdeftech;5;1969;1970;aeronautics;centralized_execution;combined_arms_focus;naval_training;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12641;Bhupendra Kumar Datta;Dattatech;4;1936;1948;small_unit_tactics;centralized_execution;individual_courage;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12642;Subhas Chandra Bose;Bosetech;5;1936;1950;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12643;Khwaja Wasiuddin;T_PRK_Khwaja_Wasiuddin;5;1948;1970;small_unit_tactics;combined_arms_focus;static_defense_tactics;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12648;Muhammad A.G. Osmani ;T_PRK_MAG_Osmani;6;1947;1970;large_unit_tactics;infantry_focus;combined_arms_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12649;J.F.R. Jacob;T_PRK_JFR_Jacob;6;1950;1970;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;rocketry;aeronautics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
