PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2600;Compañía de Aviación Faucett;T99117;3;1928;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2601;Taller Central de Aviación;T308;4;1933;1970;aeronautics;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2602;Arsenal Naval del Callao;T99118;3;1921;1944;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2603;Arsenal Naval del Callao;T99118;4;1944;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2604;Servicio Central de Artillería;T99114;3;1930;1944;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2605;Servicio Central de Artillería;T99114;4;1944;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2606;Ferreyros;T11;3;1922;1970;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2607;General Motors del Perú S.A.;T99113;4;1945;1970;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2608;W.R. Grace and Company;T6100;3;1930;1941;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2609;Compañía Peruana de Vapores;T_PRU_Compania_Peruana_deVapores;4;1906;1970;naval_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2610;W.R. Grace and Company;T6100;4;1941;1956;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2611;Empresas Eléctricas Asociadas;T8807;4;1906;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2612;International Petroleum Company;T99111;4;1917;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2613;Corporación Peruana del Santa;T99112;4;1943;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2614;W.R. Grace and Company;T6100;4;1956;1970;mechanics;chemistry;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2615;Cerro de Pasco Corporation;T99110;5;1902;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2616;UNMSM;T99120;3;1551;1970;medicine;chemistry;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2617;Javier Arias Stella;PRU_TT_Javier Arias Stella;4;1951;1970;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2618;Universidad Nacional de Ingeniería;T99121;3;1876;1943;mechanics;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2619;Universidad Nacional de Ingeniería;T99121;3;1943;1970;mechanics;electronics;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2620;Godofredo García Díaz;T_PRU_Godofredo_Garcia_Diaz;4;1928;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2621;Santiago Antúnez de Mayolo Gomero;T99119;4;1923;1967;nuclear_physics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2622;Escuela Superior de Guerra Naval;T99125;3;1930;1943;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
