QUE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12800;Canadian Car & Foundry;carfound;5;1909;1970;aeronautics;fighter_design;mechanics;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12801;Fairchild Aircraft of Canada;T_CAN_Fairchild_Aircraft;6;1920;1970;aeronautics;bomber_design;naval_artillery;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12802;Pratt & Whitney Canada;prattwhit;6;1928;1970;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12803;Canadian Vickers Ltd.;T_CAN_Canadian_Vickers;5;1912;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12804;Davie Shipbuilding;Canadian Shipyard;7;1914;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12805;Dominion Arsenal Quebec City;T_CAN_Dominion_Arsenal;5;1882;1970;artillery;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12806;Sorel Industries Ltd.;T_CAN_Sorel_Industries;6;1937;1970;artillery;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12807;Montréal Locomotive Works;angusshops;6;1883;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12808;Canadian Marconi Company;T_ENG_Marconi;5;1903;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12809;Canadian General Electric;westinghouse;5;1892;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12810;Noranda Mines;T_CAN_Noranda;5;1922;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12811;Dominion Bridge Company;T_CAN_Dominion_Bridge;6;1886;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12812;École Polytechnique de Montréal;T_CAN_Polytechnique_Montreal;4;1873;1970;mathematics;mechanics;electronics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12813;Université McGill;T12803;6;1821;1970;mathematics;chemistry;nuclear_physics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12814;Ecole Militaire du Montréal;T10401;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
