RSI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7700;I.M.A.M.;RSI_IMAM;4;1930;1970;aeronautics;fighter_design;bomber_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7701;Giuseppe Gabrielli;T_RSI_Giuseppe_Gabrielli;5;1936;1970;aeronautics;fighter_design;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7702;Industria Aeronautica del Nord;ITA_Piaggio;6;1969;1970;aeronautics;bomber_design;munitions;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7703;Industria Cooperativa Aeronautica;T_ITA_Aviazione2;6;1969;1970;aeronautics;fighter_design;mechanics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7704;Arturo Crocco;T1800;5;1930;1970;rocketry;aeronautics;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7705;Cantieri Navali di Palermo;RSI_Palermo;4;1930;1970;naval_engineering;naval_artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7706;Arsenale Militare Marittimo di Taranto;T_RSI_Arsenale_Taranto2;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7707;Cantieri Navali di Taranto;T_RSI_Cantieri_Navali_Taranto;4;1930;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7708;Cantieri Popolari Riuniti;T1804;6;1969;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7709;Fabbrica d'armi di Torre Annunziata;T_RSI_Fabbrica_Annunziata;4;1930;1970;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7710;Cooperativa Armamenti Italiani;T1801;4;1969;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7711;Armigera Napoletana;RSI_Armigera;5;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7712;Stabilimenti Meccanici di Pozzuoli;T_RSI_Armstrong-Pozzuoli;5;1930;1970;artillery;mechanics;electronics;munitions;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7713;Gennaro de Matteis;T_RSI_Gennaro_De_Matteis;6;1930;1970;general_equipment;training;management;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7714;Officine Ferroviarie Meridionali;T_RSI_OFM;4;1930;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7715;Officine di Pietrarsa;T_RSI_Officine_Pietrarsa;4;1930;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7716;Associazione Lavoratori della FIAT;T1808;5;1969;1970;artillery;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7717;Ente Statale ricerche sulle energie;RSI_EnteEnergie;4;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7718;Societá Montecatini;T1820;4;1969;1970;chemistry;general_equipment;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
