SAU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8601;Jeddah Aircraft Factory;T1409;3;1941;1970;aeronautics;fighter_design;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8602;de Havilland Arabia;T3001;3;1930;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8603;Arabian Vickers Ltd.;T907;4;1930;1970;naval_engineering;aeronautics;technical_efficiency;aircraft_testing;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8604;Jeddah Shipyard;T_SAU_Jeddah_Shipyard;3;1946;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8605;Riyadh Arsenal;T_AST_Rifle;2;1936;1948;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8606;Baghdad Munitions Factory;T9800;3;1939;1970;artillery;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8607;Military Industries Corporation;T_SAU_MIC;3;1948;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8608;Haji Husein Alireza & Co.;T_SAU_HHA;3;1906;1970;mechanics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8609;Zamil Steel;T_SAU_Zamil_Steel;3;1930;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8610;Hejaz Railway;Hejazrailtech;3;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8611;E.A. Juffali and Brothers;T_SAU_EA-Juffali;3;1941;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8612;Trans-Arabian Railways;Hejazrailtech;4;1969;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8613;Imperial Oil of Canada;Imperial Oil;4;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8614;Iraq Petroleum Company;T6000;5;1929;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8615;Royal Hashemite University;T8602;2;1936;1970;mathematics;mechanics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8616;Syrian University;T9403;3;1923;1970;mathematics;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8617;Port of Jeddah;Jeddahtech;2;1930;1946;small_taskforce_tactics;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8618;Royal Hashemite Naval College;Jeddahtech;3;1946;1970;naval_artillery;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8619;Abdul Salam Sarhan;T_SAU_Abdul_Salam_Sarhan;3;1936;1950;fighter_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8620;H.R.M. Brooke-Popham;T_SAU_HRM_Brooke_Popham;3;1918;1943;fighter_tactics;bomber_tactics;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8621;Sami Fattah;T_IRQ_Sami_Fattah;3;1941;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8622;Ibrahim bin Saleh al-Tassan;T_SAU_Ibrahim_Al-Tassan;4;1950;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8623;Damascus Military Academy;Tech_Rashidiyeh;3;1922;1970;small_unit_tactics;infantry_focus;cavalry_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
