SCA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
32000;Absalon;T200;2;1930;1970;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32001;Arne Beurling;T3200;6;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32002;Atlas A/S;T201;2;1930;1970;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32003;Bofors AB;T3201;6;1930;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32004;Burmeister & Wain;T202;5;1930;1970;aeronautics;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32005;F.L. Smidt;T204;5;1930;1970;mechanics;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32006;Götaverken;T3202;4;1930;1970;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32007;HF Vaerkstader;T205;2;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32008;Horten Naval Yard;T2500;2;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32009;Husqvarna;T3203;4;1930;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32010;KaMeVe;T3205;4;1930;1970;mechanics;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32011;Karlskrona Naval Yard;T3204;5;1930;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32012;Kjeller Flyfabrikk;T2501;3;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32013;Kongsberg;T2502;3;1930;1970;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32014;Kvaerner;T2503;5;1930;1970;naval_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32015;Landsverk AB;T3206;5;1930;1970;mechanics;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32016;LM Ericsson;T3207;6;1930;1970;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32017;Niels Bohr;T111;7;1930;1943;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32018;Odd Hassel;T2508;4;1930;1970;management;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32019;Raufoss Ammunisjonsfabrikk;T2504;4;1930;1970;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32020;Riffelsyndikatet A/S;T206;3;1930;1970;mechanics;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32021;SAAB;T3208;5;1930;1970;aeronautics;industrial_engineering;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32022;Sadolin & Holmblad A/S;T207;2;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32023;Scania-Vabis;T3209;5;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32024;The Svedberg;T3213;5;1930;1970;nuclear_physics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32025;Vølund;T208;3;1930;1970;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32026;Volvo;T3210;5;1930;1970;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32027;Carl Hjalf;T209;3;1930;1970;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32028;Helge Jung;T3212;4;1930;1970;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32029;Bjorn Diesen;T2507;2;1930;1970;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32030;Bengt Nordenskiöld;T3211;4;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
