SCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3300;Pilatus Flugzeugwerke;T_SCH_Pilatus;4;1940;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3301;EFW;T3302;5;1930;1942;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3302;EFW;T3302;6;1942;1970;aeronautics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3303;Dornier Werke Schweiz;T3301;6;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3304;SIG;T3308;5;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3305;Waffenfabrik Bern;T_SCH_Waffenfabrik_Bern;6;1890;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3306;EKW;T_SCH_EKW;5;1942;1949;artillery;mechanics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3307;Adolph Saurer AG;T_SCH_Adolph_Saurer;5;1930;1970;artillery;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3308;Mowag Seitz & Ruf AG;T_SCH_Mowag;5;1949;1970;artillery;mechanics;electronics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3309;EKW;T_SCH_EKW;6;1949;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3310;Oederlin Metallwaren;T3306;5;1930;1970;artillery;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
