SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15800;ZMAJ;T3807;3;1930;1970;aeronautics;fighter_design;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15801;Zivojin Rogozarski;T3806;4;1930;1970;aeronautics;fighter_design;bomber_design;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15802;Ikarus;T3800;5;1930;1946;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15803;Ikarus;T_SER_Ikarus;5;1946;1970;aeronautics;fighter_design;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15804;Industrija Aeroplanskih Motora;T3801;3;1930;1945;aeronautics;mechanics;technical_efficiency;aircraft_testing;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15805;Miroslav Stumberger;T3819;3;1969;1970;rocketry;electronics;submarine_design;technical_efficiency;naval_training;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15806;Brodosplit;T_CRO_Brodosplit;3;1969;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15807;Kvarnersko Shipyard;T_HUN_Fiumei_Hajogyar;3;1969;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15808;Uljanik Shipyard;T_CRO_Uljanik_Shipyard;4;1969;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15809;Kompanija Sloboda;T_SER_Kompanija_Sloboda;4;1948;1970;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15810;Vistad;T3818;4;1938;1948;artillery;munitions;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15811;Military-Technical Institute Valjevo;T3818;4;1948;1970;artillery;mechanics;munitions;training;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15812;Zastava Oruzje;T_SER_Zastava_Oruzje1;4;1930;1945;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15813;Zastava Oruzje;T_SER_Zastava_Oruzje2;5;1945;1970;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15814;Zeleznicke Radionice;T3815;3;1930;1970;mechanics;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15815;Zastava Automobili;T_SER_Zavstava_Auto;4;1945;1970;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
