SIA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9100;Royal Aeronautical Services;T_SIA_Aeronautical_Services;3;1919;1970;aeronautics;fighter_design;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9101;Bangkok Dock Co.;T6;2;1888;1947;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9102;Bangkok Dock Co.;T6;3;1947;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9103;Sembawang Naval Dockyard;T_SIA_Sembawang_Dockyard;4;1969;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9104;Royal Thai Arsenal;T_SIA_Thai_Arsenal;3;1920;1946;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9105;Royal Thai Arsenal;T_SIA_Thai_Arsenal;3;1946;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9106;Chaiseri Metal and Rubber Co.;T_SIA_Chaiseri1;3;1939;1952;mechanics;chemistry;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9107;Chaiseri Metal and Rubber Co.;T_SIA_Chaiseri2;3;1952;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9108;Ford Malaya;T_MLY_Ford_Malaya;3;1969;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9109;B.Grimm;T_SIA_B-Grimm1;3;1878;1949;general_equipment;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9110;Siam Electricity Company;T_SIA_Electricity_Company;3;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9111;Siam Cement;T_SIA_Siam_Cement;3;1913;1948;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9112;Royal State Railways;T_SIA_Royal_State_Railways;3;1890;1970;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9113;B.Grimm;T_SIA_B-Grimm2;3;1949;1970;electronics;general_equipment;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9114;Siam Chemicals Company Ltd.;T_SIA_SCC;4;1950;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9115;Siam Cement;T_SIA_Siam_Cement;4;1948;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9116;Chulalongkorn University;T9109;2;1917;1970;mathematics;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9117;Pathumwan Mechanics School;T_SIA_Pathumwan_Tech;2;1932;1970;mathematics;mechanics;training;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9118;Abhakara Kiartivongse;T_SIA_Abhakara_Kiartivongse;3;1922;1942;small_taskforce_tactics;centralized_execution;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9119;Luang Sinthusongkhramchai;T_SIA_Sindhu_Kamalanavin;3;1934;1957;naval_artillery;small_taskforce_tactics;decentralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9120;Royal Thai Naval Academy;T_SIA_Thai_Naval_Academy;3;1898;1970;naval_engineering;electronics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9131;Jit Sangkhadul;T_SIA_Jit_Sangkhadul;3;1957;1970;naval_artillery;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9121;Yatsushiro Sukeyoshi;T_SIA_Yatsushiro_Sukeyoshi;4;1936;1955;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9122;Phraya Chalerm Akat;T_SIA_Chalerm_Akat;3;1915;1947;fighter_tactics;bomber_tactics;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9123;Muni M. Vechayanrangsarit;T_SIA_Muni_Vechayanrangsarit;4;1937;1958;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
