SIB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13100;Chaplygin Siberian Scientific Research Institute of Aviation;T13100;7;1941;1970;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13101;Chkalov Aeronautical Industries;T13101;5;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13102;Irkutsk Aviation Industrial Association;T13102;5;1930;1970;avionics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13103;Nizny Tagil Factories;T3712;4;1930;1970;mechanics;technical_efficiency;industrial_engineering;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13104;Novosibirsk Institute of Electrical Engineering;T13104;4;1930;1970;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13105;Novosibirsk National Tin Factory;T10504;3;1930;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13106;Novosibirsk Oil Processing;T10504;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13107;Novosibirsk Radio Components Plant;T13107;4;1930;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13108;Omsk Engine Design Bureau;T13108;4;1930;1970;munitions;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13109;PO Sibselmash;T13109;5;1930;1970;management;industrial_engineering;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13110;Ulan-Ude Aviation Plant;T13110;5;1939;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13111;Siberian Military Academy;T10401;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
