SLO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4100;Dubnica Machines Plant;T1103;7;1930;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4101;Rudolf Viest;T9999;4;1936;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4102;Jan Golian;T4102;4;1939;1970;large_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4103;Comenius University;T4103;3;1930;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4104;Ministry of Defence;T4104;4;1930;1970;aeronautics;electronics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4105;Apollo refinery;T9997;4;1930;1970;industrial_engineering;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4106;Povazska Bystrica Airforce Factory;T1604;5;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4107;Ironworks Pobrezova;T9998;3;1930;1970;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4108;Dynamit Nobel;T9996;4;1930;1970;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4109;Milan Rastislav Stefánik;T88889;6;1930;1970;small_unit_tactics;individual_courage;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4110;Ferdinand Catlos;T88892;5;1930;1970;large_unit_tactics;training;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4111;Jur Hronec;T88890;7;1930;1970;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4112;Komarno Shipyards;T88893;2;1930;1970;naval_engineering;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4113;Rudolf Bozik;T88888;4;1940;1970;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
